sub ses blk trl soa cond acc rt
10 1 2 55 0.4 0 1 0.28223
10 1 2 56 0.4 0 1 0.31521
10 1 2 57 0.5 2 1 0.39845
10 1 2 58 0.5 0 1 0.3152
10 1 2 59 0.5 2 1 0.29869
10 1 2 60 0.5 0 1 0.24921
10 1 2 61 0.4 2 1 0.41484
10 1 2 62 0.4 0 1 0.28202
10 1 2 63 0.6 0 1 0.24891
10 1 2 64 0.5 0 1 0.24906
10 1 2 65 0.6 0 1 0.21594
10 1 2 66 0.6 0 1 0.11652
10 1 2 67 0.3 0 1 0.2823
10 1 2 68 0.4 0 1 0.099548
10 1 2 69 0.4 0 1 0.24904
10 1 2 70 0.4 2 1 0.29873
10 1 2 71 0.4 0 1 0.24887
10 1 2 72 0.5 0 1 0.28178
10 1 2 73 0.5 2 1 0.11618
10 1 2 74 0.6 2 1 0.31556
10 1 2 75 0.3 2 1 0.36548
10 1 2 76 0.6 0 1 0.099721
10 1 2 77 0.6 0 1 0.26541
10 1 2 78 0.5 0 1 0.28221
10 1 2 79 0.4 0 1 0.23241
10 1 2 80 0.6 0 1 0.23289
10 1 2 81 0.4 2 1 0.28185
10 1 2 82 0.5 0 1 0.29877
10 1 2 83 0.3 0 1 0.28226
10 1 2 84 0.6 2 1 0.26561
10 1 2 85 0.6 2 1 0.24898
10 1 2 86 0.3 0 1 0.2822
10 1 2 87 0.6 0 1 0.24908
10 1 2 88 0.5 0 1 0.19941
10 1 2 89 0.5 0 1 0.38162
10 1 2 90 0.3 0 1 0.33199
10 1 2 91 0.5 0 1 0.16597
10 1 2 92 0.6 2 1 0.049874
10 1 2 93 0.4 0 1 0.31541
10 1 2 94 0.3 0 1 0.39825
10 1 2 95 0.4 0 1 0.2656
10 1 2 96 0.5 0 1 0.26554
10 1 2 97 0.4 0 1 0.29891
10 1 2 98 0.5 0 1 0.26555
10 1 2 99 0.5 0 1 0.24885
10 1 2 100 0.4 0 1 0.51436
10 1 2 101 0.5 2 1 0.29895
10 1 2 102 0.6 0 1 0.083118
10 1 2 103 0.3 0 1 0.3155
10 1 2 104 0.4 0 1 0.3152
10 1 2 105 0.6 0 1 0.14942
10 1 2 106 0.4 0 1 0.29879
10 1 2 107 0.3 0 1 0.29884
10 1 2 108 0.4 0 1 0.23242
10 1 2 109 0.4 2 1 0.34853
10 1 2 110 0.6 0 1 0.099606
10 1 2 111 0.6 0 1 0.24947
10 1 2 112 0.4 0 1 0.29911
10 1 2 113 0.5 0 1 0.24906
10 1 2 114 0.5 0 1 0.049874
10 1 2 115 0.4 0 1 0.26527
10 1 2 116 0.4 0 1 0.23253
10 1 2 117 0.6 0 1 0.24901
10 1 2 118 0.6 0 1 0.28217
10 1 2 119 0.3 2 1 0.43131
10 1 2 120 0.5 0 1 0.16588
10 1 2 121 0.3 0 1 0.26569
10 1 2 122 0.3 0 1 0.24934
10 1 2 123 0.6 0 1 0.28212
10 1 2 124 0.3 0 1 0.29885
10 1 2 125 0.6 0 0 NA
10 1 2 126 0.6 0 0 NA
10 1 2 127 0.3 0 1 0.33194
10 1 2 128 0.5 0 1 0.24882
10 1 2 129 0.3 0 1 0.31541
10 1 2 130 0.3 0 1 0.29869
10 1 2 131 0.4 0 1 0.2654
10 1 2 132 0.3 2 1 0.31548
10 1 2 133 0.5 0 1 0.23233
