sub ses blk trl arrow cond acc rt
10 1 2 127 2 1 1 0.3412
10 1 2 128 1 0 1 0.42257
10 1 2 129 2 1 1 0.37968
10 1 2 130 2 2 1 0.41544
10 1 2 131 1 1 1 0.4035
10 1 2 132 1 2 1 0.40825
10 1 2 133 2 0 1 0.40461
10 1 2 134 2 2 1 0.42713
10 1 2 135 2 0 1 0.39646
10 1 2 136 2 2 1 0.41556
10 1 2 137 1 0 1 0.41225
10 1 2 138 2 2 1 0.40104
10 1 2 139 2 2 1 0.39709
10 1 2 140 1 2 1 0.40193
10 1 2 141 2 0 1 0.31775
10 1 2 142 1 0 1 0.44
10 1 2 143 2 1 1 0.39072
10 1 2 144 1 1 1 0.37542
10 1 3 1 1 1 1 0.98035
10 1 3 2 1 1 1 0.40631
10 1 3 3 1 2 1 0.53179
10 1 3 4 1 0 1 0.33149
10 1 3 5 1 1 1 0.32457
10 1 3 6 2 1 1 0.46205
10 1 3 7 1 0 1 0.41213
10 1 3 8 1 2 1 0.46494
10 1 3 9 1 0 1 0.38256
10 1 3 10 2 0 1 0.45899
10 1 3 11 1 1 1 0.37601
10 1 3 12 1 0 1 0.43492
10 1 3 13 2 1 1 0.41565
10 1 3 14 2 0 1 0.43831
10 1 3 15 2 2 1 0.42468
10 1 3 16 2 0 1 0.39813
10 1 3 17 1 2 1 0.43354
10 1 3 18 1 2 1 0.47715
10 1 3 19 2 2 1 0.41245
10 1 3 20 1 1 1 0.40751
10 1 3 21 1 0 1 0.40299
10 1 3 22 1 1 1 0.43201
10 1 3 23 1 0 1 0.43629
10 1 3 24 1 0 1 0.44133
10 1 3 25 1 1 1 0.42199
10 1 3 26 1 1 1 0.49907
10 1 3 27 1 1 1 0.44931
10 1 3 28 1 1 1 0.39842
10 1 3 29 1 0 1 0.44276
10 1 3 30 1 0 1 0.42286
10 1 3 31 1 2 1 0.60564
10 1 3 32 2 0 1 0.49221
10 1 3 33 2 1 1 0.41891
10 1 3 34 2 0 1 0.41545
10 1 3 35 1 1 1 0.51583
10 1 3 36 2 0 1 0.42001
10 1 3 37 1 1 1 0.37442
10 1 3 38 1 2 1 0.42961
10 1 3 39 2 1 1 0.44166
10 1 3 40 2 1 1 0.47105
10 1 3 41 2 2 1 0.54595
10 1 3 42 1 1 1 0.4256
10 1 3 43 1 1 1 0.46326
10 1 3 44 1 0 1 0.38847
10 1 3 45 1 1 1 0.36744
10 1 3 46 2 1 1 0.42784
10 1 3 47 1 0 1 0.38406
10 1 3 48 2 1 1 0.39603
10 1 3 49 2 0 1 0.46174
10 1 3 50 2 2 1 0.52377
10 1 3 51 1 0 1 0.65993
10 1 3 52 1 1 1 0.48579
10 1 3 53 2 0 1 0.41218
10 1 3 54 2 2 1 0.53637
10 1 3 55 2 0 1 0.39064
10 1 3 56 2 0 1 0.40247
10 1 3 57 2 0 1 0.40646
10 1 3 58 1 2 1 0.49806
10 1 3 59 1 2 1 0.44229
10 1 3 60 2 1 1 0.40572
10 1 3 61 1 1 1 0.44908
10 1 3 62 2 1 1 0.4074
10 1 3 63 2 1 1 0.45256
10 1 3 64 1 2 1 0.52036
10 1 3 65 1 1 1 0.54629
10 1 3 66 2 2 1 0.43234
10 1 3 67 1 0 1 0.46287
10 1 3 68 2 2 1 0.40253
10 1 3 69 1 0 1 0.45473
10 1 3 70 2 2 1 0.33918
10 1 3 71 2 2 1 0.46913
10 1 3 72 2 1 1 0.45009
10 1 3 73 1 2 1 0.43299
10 1 3 74 1 2 1 0.41266
10 1 3 75 2 2 1 0.4742
10 1 3 76 1 2 1 0.43934
10 1 3 77 1 1 1 0.4119
10 1 3 78 2 2 1 0.49646
10 1 3 79 1 2 1 0.45629
10 1 3 80 2 2 1 0.87537
10 1 3 81 1 1 1 0.53012
10 1 3 82 2 0 1 0.43517
10 1 3 83 1 1 1 0.44649
10 1 3 84 2 2 1 0.46895
10 1 3 85 1 0 1 0.402
10 1 3 86 2 2 1 0.38931
10 1 3 87 1 0 1 0.39462
10 1 3 88 2 0 1 0.37331
10 1 3 89 2 0 0 0.28035
10 1 3 90 2 1 1 0.52921
10 1 3 91 1 1 1 0.45763
10 1 3 92 2 0 1 0.43074
10 1 3 93 2 0 1 0.51409
10 1 3 94 2 2 1 0.47462
10 1 3 95 2 2 1 0.44795
10 1 3 96 1 2 1 0.49188
10 1 3 97 2 1 1 0.41381
10 1 3 98 2 1 1 0.40901
10 1 3 99 2 2 1 0.39527
10 1 3 100 2 2 1 0.44024
10 1 3 101 2 1 1 0.34719
10 1 3 102 1 2 1 0.62266
10 1 3 103 2 2 1 0.46473
10 1 3 104 2 1 1 0.39163
10 1 3 105 2 2 1 0.62639
10 1 3 106 2 1 1 0.39557
10 1 3 107 2 0 1 0.36891
10 1 3 108 1 0 1 0.46566
10 1 3 109 1 2 1 0.51972
10 1 3 110 2 2 1 0.38102
10 1 3 111 1 2 1 0.52803
10 1 3 112 1 2 1 0.54441
10 1 3 113 1 2 1 0.52777
10 1 3 114 1 2 1 0.45521
10 1 3 115 1 1 1 0.46895
10 1 3 116 2 0 1 0.4814
10 1 3 117 2 0 1 0.53654
10 1 3 118 2 0 1 0.39915
10 1 3 119 1 1 1 0.46647
10 1 3 120 2 1 1 0.44002
10 1 3 121 2 1 1 0.41422
10 1 3 122 2 0 1 0.42615
10 1 3 123 1 0 1 0.47138
10 1 3 124 1 2 1 0.45132
10 1 3 125 1 0 1 0.45668
10 1 3 126 2 0 1 0.43832
10 1 3 127 2 0 1 0.46872
10 1 3 128 1 2 1 0.45777
10 1 3 129 2 2 1 0.43772
10 1 3 130 2 2 1 0.55463
10 1 3 131 2 2 1 0.45182
10 1 3 132 1 2 1 0.47284
10 1 3 133 1 2 0 0.33368
10 1 3 134 1 0 1 0.503
10 1 3 135 2 1 1 0.41331
10 1 3 136 1 0 0 0.37029
10 1 3 137 2 1 1 0.43044
10 1 3 138 2 1 1 0.37153
10 1 3 139 1 0 1 0.43936
10 1 3 140 2 0 1 0.403
10 1 3 141 2 1 1 0.40619
10 1 3 142 1 0 1 0.44492
10 1 3 143 1 0 1 0.42739
10 1 3 144 2 1 1 0.52508
10 1 4 1 2 0 1 1.6809
10 1 4 2 2 2 1 0.43533
10 1 4 3 2 1 1 0.36747
10 1 4 4 2 1 1 0.34121
10 1 4 5 2 2 1 0.50322
10 1 4 6 1 0 1 0.44427
10 1 4 7 2 1 1 0.41136
10 1 4 8 2 1 1 0.43076
