sub ageGroup block trialType cond stim acc rt
102 1 block1 exp incongruent 44 1 1.480168
102 1 block1 exp congruent 4444 1 0.569314
102 1 block1 exp congruent 333 1 0.662111
102 1 block1 exp neutral $$$ 1 0.775683
102 1 block1 exp congruent 1 1 0.628528
102 1 block1 exp congruent 22 1 0.863462
102 1 block1 exp neutral $$$$ 1 0.752033
102 1 block1 exp congruent 333 1 1.42163
102 1 block1 exp congruent 4444 1 0.816781
102 1 block1 exp congruent 1 1 0.636377
102 1 block1 exp incongruent 1111 1 0.614558
102 1 block1 exp incongruent 222 1 1.066105
102 1 block1 exp incongruent 1111 1 0.651753
102 1 block1 exp neutral $$$ 1 0.788271
102 1 block1 exp neutral $$ 1 0.704522
102 1 block1 exp incongruent 44 1 0.664079
102 1 block1 exp incongruent 3 1 0.77761
102 1 block1 exp congruent 22 1 1.190542
102 1 block1 exp incongruent 3 1 0.770916
102 1 block1 exp congruent 1 1 0.567827
102 1 block1 exp congruent 333 1 1.723712
102 1 block1 exp neutral $$ 1 0.810937
102 1 block1 exp neutral $ 1 0.670555
102 1 block1 exp incongruent 44 1 0.679392
102 1 block1 exp incongruent 222 0 0.688292
102 1 block1 exp incongruent 44 0 1.995006
102 1 block1 exp neutral $$$ 1 0.613203
102 1 block1 exp incongruent 222 1 0.903731
102 1 block1 exp congruent 4444 1 0.607338
102 1 block1 exp congruent 1 1 0.826916
102 1 block1 exp incongruent 3 0 0.613763
102 1 block1 exp incongruent 222 1 1.29731
102 1 block1 exp congruent 333 1 0.617747
102 1 block1 exp congruent 1 1 0.564633
102 1 block1 exp neutral $$$ 1 0.713101
102 1 block1 exp incongruent 44 1 0.816619
102 1 block1 exp neutral $$ 1 0.548185
102 1 block1 exp incongruent 44 1 0.834388
102 1 block1 exp congruent 333 1 1.228658
102 1 block1 exp neutral $ 1 0.655707
102 1 block1 exp neutral $$$$ 1 0.729352
102 1 block1 exp incongruent 1111 1 0.696154
102 1 block1 exp neutral $$$ 1 0.640362
102 1 block1 exp congruent 333 1 0.569537
102 1 block1 exp neutral $$ 1 0.702332
102 1 block1 exp neutral $ 1 0.645895
102 1 block1 exp congruent 22 1 0.856053
102 1 block1 exp neutral $$$$ 1 0.665697
102 1 block1 exp incongruent 1111 1 0.555324
102 1 block1 exp congruent 4444 1 0.74471
102 1 block1 exp incongruent 3 0 1.03798
102 1 block1 exp congruent 22 1 0.624322
102 1 block1 exp incongruent 3 0 0.851206
102 1 block1 exp neutral $$$$ 1 0.884775
102 1 block1 exp incongruent 222 1 0.677046
102 1 block1 exp neutral $$$$ 1 0.5899
102 1 block1 exp neutral $$ 1 1.162097
102 1 block1 exp congruent 4444 1 0.671808
102 1 block1 exp congruent 22 1 1.127688
102 1 block1 exp neutral $$$ 0 0.63877
102 1 block1 exp congruent 1 1 0.608909
102 1 block1 exp incongruent 222 1 0.964446
102 1 block1 exp incongruent 1111 1 1.186077
102 1 block1 exp neutral $ 1 0.91045
102 1 block2 warm-up incongruent 1111 1 1.465075
102 1 block2 warm-up incongruent 44 1 0.810905
102 1 block2 exp incongruent 3 1 0.83056
102 1 block2 exp incongruent 44 1 1.025442
102 1 block2 exp congruent 4444 1 0.564419
102 1 block2 exp incongruent 222 1 0.9619
102 1 block2 exp neutral $$$$ 1 0.630541
102 1 block2 exp congruent 1 1 0.729386
102 1 block2 exp neutral $$$ 1 1.944352
102 1 block2 exp neutral $$$$ 1 0.566985
102 1 block2 exp congruent 333 1 0.636521
102 1 block2 exp congruent 1 1 0.686673
102 1 block2 exp neutral $$$ 1 1.022871
102 1 block2 exp incongruent 44 1 1.424908
102 1 block2 exp congruent 1 1 0.796035
102 1 block2 exp neutral $ 1 0.704299
102 1 block2 exp congruent 4444 1 0.655837
102 1 block2 exp congruent 1 1 0.649388
102 1 block2 exp incongruent 1111 1 1.38764
102 1 block2 exp incongruent 222 1 0.784136
102 1 block2 exp neutral $$$ 1 0.723288
102 1 block2 exp congruent 4444 1 0.930173
102 1 block2 exp congruent 22 1 1.201183
102 1 block2 exp congruent 333 1 1.220925
102 1 block2 exp neutral $$$$ 1 1.223978
102 1 block2 exp neutral $ 1 0.683064
102 1 block2 exp incongruent 1111 1 1.307974
102 1 block2 exp congruent 4444 1 0.794771
102 1 block2 exp incongruent 3 1 1.247008
102 1 block2 exp neutral $ 1 0.94537
102 1 block2 exp congruent 4444 1 0.775673
102 1 block2 exp neutral $$ 1 1.124635
102 1 block2 exp congruent 333 1 0.963677
102 1 block2 exp congruent 22 1 0.617288
102 1 block2 exp incongruent 44 1 0.683192
102 1 block2 exp incongruent 1111 1 0.588012
102 1 block2 exp congruent 333 1 0.752171
102 1 block2 exp congruent 22 1 1.053763
102 1 block2 exp congruent 1 1 0.775451
102 1 block2 exp incongruent 222 1 0.636395
102 1 block2 exp congruent 22 1 0.966509
102 1 block2 exp congruent 4444 1 0.732166
102 1 block2 exp neutral $$$ 1 0.690068
102 1 block2 exp incongruent 1111 1 0.802245
102 1 block2 exp neutral $$$ 1 0.709873
102 1 block2 exp neutral $ 1 1.669462
102 1 block2 exp neutral $$ 1 1.574786
102 1 block2 exp incongruent 3 1 0.8919
102 1 block2 exp neutral $$$$ 1 0.644204
102 1 block2 exp neutral $ 1 0.693374
102 1 block2 exp incongruent 3 1 1.349587
102 1 block2 exp congruent 333 1 1.100067
102 1 block2 exp neutral $$ 1 1.260407
102 1 block2 exp neutral $$$ 0 0.806177
102 1 block2 exp neutral $$ 1 1.033754
102 1 block2 exp congruent 22 1 0.900119
102 1 block2 exp incongruent 222 1 1.059408
102 1 block2 exp incongruent 44 1 1.341075
102 1 block2 exp incongruent 3 1 1.283526
102 1 block2 exp neutral $$ 1 0.499999
102 1 block2 exp incongruent 1111 1 0.572094
102 1 block2 exp congruent 22 1 0.816942
102 1 block2 exp incongruent 222 1 0.67501
102 1 block2 exp incongruent 44 1 0.76378
102 1 block2 exp neutral $$ 1 0.633307
102 1 block2 exp neutral $ 1 0.708162
102 1 block2 exp incongruent 222 1 1.563745
102 1 block2 exp congruent 333 1 1.057587
102 1 block2 exp incongruent 3 1 0.73125
102 1 block2 exp neutral $$$$ 1 0.658129
102 1 block2 exp congruent 1 1 0.971659
102 1 block2 exp neutral $$$$ 1 0.639667
102 1 block2 exp incongruent 1111 1 0.625856
102 1 block2 exp incongruent 44 1 0.956707
102 1 block3 warm-up neutral $$$ 1 1.007207
102 1 block3 warm-up neutral $$$$ 1 0.546869
102 1 block3 exp congruent 22 1 0.871987
102 1 block3 exp congruent 333 1 1.017014
102 1 block3 exp incongruent 3 1 0.947984
102 1 block3 exp neutral $$ 1 0.866288
102 1 block3 exp incongruent 3 1 0.675848
102 1 block3 exp incongruent 44 1 0.780733
102 1 block3 exp incongruent 3 1 0.929783
102 1 block3 exp congruent 22 1 0.791637
102 1 block3 exp congruent 333 1 0.883887
102 1 block3 exp incongruent 222 1 0.636147
102 1 block3 exp congruent 333 1 0.51835
102 1 block3 exp neutral $$ 1 0.621157
102 1 block3 exp neutral $$$$ 1 0.944017
102 1 block3 exp incongruent 222 1 1.686349
102 1 block3 exp neutral $ 1 0.670894
102 1 block3 exp neutral $$$$ 1 1.646846
102 1 block3 exp incongruent 1111 1 0.537363
102 1 block3 exp congruent 22 1 0.815552
102 1 block3 exp incongruent 222 1 0.915059
102 1 block3 exp congruent 4444 1 0.65073
102 1 block3 exp neutral $$ 1 1.132264
102 1 block3 exp congruent 333 1 0.762313
102 1 block3 exp neutral $$$$ 1 0.663859
102 1 block3 exp neutral $$$ 1 1.753424
102 1 block3 exp neutral $$$$ 1 0.575311
102 1 block3 exp incongruent 44 1 0.884183
102 1 block3 exp neutral $ 1 0.764495
102 1 block3 exp incongruent 44 1 0.794054
102 1 block3 exp incongruent 1111 1 0.662266
102 1 block3 exp congruent 1 1 0.710801
102 1 block3 exp neutral $$$ 1 0.998371
102 1 block3 exp neutral $$$$ 1 0.570706
102 1 block3 exp congruent 333 1 0.591502
102 1 block3 exp incongruent 3 1 0.731652
102 1 block3 exp neutral $ 1 0.666545
102 1 block3 exp congruent 22 1 0.652102
102 1 block3 exp incongruent 44 1 0.861618
102 1 block3 exp congruent 22 1 0.582173
102 1 block3 exp congruent 4444 1 0.619048
102 1 block3 exp incongruent 222 1 0.765889
102 1 block3 exp incongruent 44 1 0.835472
102 1 block3 exp incongruent 3 1 0.685737
102 1 block3 exp neutral $ 1 0.69397
102 1 block3 exp neutral $$$ 1 0.838151
102 1 block3 exp neutral $ 1 0.783441
102 1 block3 exp incongruent 1111 1 1.12431
102 1 block3 exp neutral $$$ 1 0.80337
102 1 block3 exp congruent 333 1 0.823076
102 1 block3 exp incongruent 222 1 0.585877
102 1 block3 exp incongruent 1111 1 0.678035
102 1 block3 exp congruent 1 1 0.862905
102 1 block3 exp congruent 4444 1 0.792501
102 1 block3 exp neutral $$ 1 0.763795
102 1 block3 exp incongruent 222 1 0.897375
102 1 block3 exp incongruent 44 1 0.633627
102 1 block3 exp incongruent 3 1 0.81981
102 1 block3 exp congruent 4444 1 0.630765
102 1 block3 exp incongruent 1111 1 0.657582
102 1 block3 exp neutral $$$ 1 1.339129
102 1 block3 exp incongruent 1111 1 0.584578
102 1 block3 exp neutral $$ 0 1.995006
102 1 block3 exp congruent 4444 1 0.561473
102 1 block3 exp congruent 1 1 0.838962
102 1 block3 exp congruent 4444 1 0.609232
102 1 block3 exp congruent 1 1 0.564743
102 1 block3 exp neutral $$ 1 0.962235
102 1 block3 exp congruent 22 1 1.206877
102 1 block3 exp congruent 1 1 0.690614
102 1 block3 exp neutral $ 1 0.562798
102 1 block3 exp congruent 1 1 0.464304
