subject,session,date,time,condition,block,trial,rt,wait_time,probe_resp
9003,1,10/03/22,10:33,grey,real,43,0.3285976,4000,NA
9003,1,10/03/22,10:33,grey,real,44,0.3247778,5500,NA
9003,1,10/03/22,10:33,grey,real,45,0.2923915,7500,NA
9003,1,10/03/22,10:33,grey,real,46,0.3661491,2500,NA
9003,1,10/03/22,10:33,grey,real,47,0.4286499,6000,NA
9003,1,10/03/22,10:33,grey,real,48,0.4251979,3000,1
9003,1,10/03/22,10:33,grey,real,49,0.3227648,5500,NA
9003,1,10/03/22,10:33,grey,real,50,0.3472989,7500,NA
9003,1,10/03/22,10:33,grey,real,51,0.4551021,5000,NA
9003,1,10/03/22,10:33,grey,real,52,0.30904740000000003,5500,NA
9003,1,10/03/22,10:33,grey,real,53,0.3099603,7000,NA
9003,1,10/03/22,10:33,grey,real,54,0,2500,NA
9003,1,10/03/22,10:33,grey,real,55,0.3614228,4000,NA
9003,1,10/03/22,10:33,grey,real,56,0.3489545,8000,1
9003,1,10/03/22,10:33,grey,real,57,0.334976,7000,NA
9003,1,10/03/22,10:33,grey,real,58,0.4246421,3500,NA
9003,1,10/03/22,10:33,grey,real,59,0.3852995,5500,NA
9003,1,10/03/22,10:33,grey,real,60,0.3670174,7000,NA
9004,1,10/03/22,13:05,grey,practice,1,0,4000,NA
9004,1,10/03/22,13:05,grey,practice,2,0,5500,NA
9004,1,10/03/22,13:05,grey,practice,3,0.4150762,7000,NA
9004,1,10/03/22,13:05,grey,practice,4,0.3914919,6500,NA
9004,1,10/03/22,13:05,grey,practice,5,0.3571753,2500,NA
9004,1,10/03/22,13:05,grey,real,1,0,6000,NA
9004,1,10/03/22,13:05,grey,real,2,0,3500,NA
9004,1,10/03/22,13:05,grey,real,3,0,8000,NA
9004,1,10/03/22,13:05,grey,real,4,0,3500,NA
9004,1,10/03/22,13:05,grey,real,5,0.4102785,5000,NA
9004,1,10/03/22,13:05,grey,real,6,0.3709922,6000,NA
