subject,session,date,time,list,phase,serial_position,cue,target,rt,correct,...11,...12,...13,...14,...15,...16
9002,1,10/10/2022,09:08:00,4,recall,5,NA,metro,5064.3684,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,5,recall,1,NA,lemur,2435.7533,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,5,recall,2,NA,world,2289.8429,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,5,recall,2,NA,booth,2898.7767,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,5,recall,2,NA,tank,1557.8096,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,5,recall,6,NA,viper,2954.1198,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,5,recall,7,NA,drake,2904.9951,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,5,recall,9,NA,bunny,4128.8987,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,6,recall,9,NA,ridg,2297.6326,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,6,recall,3,NA,digit,1608.1693,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,6,recall,2,NA,alley,1922.1901,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,6,recall,2,NA,bear,1768.5366,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,6,recall,10,NA,lotus,7657.0846,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,7,recall,1,NA,saint,5792.8707,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,7,recall,2,NA,bench,1513.5051,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,7,recall,10,NA,river,1872.9157,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,7,recall,10,NA,crypt,4011.412,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,8,recall,1,NA,clock,2735.8252,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,8,recall,1,NA,fire,3914.6372,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,8,recall,1,NA,list,2735.6258,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,8,recall,1,NA,love,2618.1009,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,8,recall,1,NA,demon,3981.414,0,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,8,recall,1,NA,zoom,20640.7126,0,NA,NA,NA,NA,NA,NA
