subject,session,block,trial,subtrial,trialtype,setsize,resp,acc,rt,proberesp
9002,1,real,14,14,nochange,6,f,1,2888.449,NA
9002,1,real,15,15,change,6,j,1,1436.7359,NA
9002,1,real,16,16,nochange,6,f,1,2224.0267,1
9002,1,real,17,17,change,6,f,0,2374.2983,NA
9002,1,real,18,18,change,6,j,1,5036.4451,NA
9002,1,real,19,19,nochange,6,f,1,1711.5473,NA
9002,1,real,20,20,nochange,6,f,1,1438.5309,NA
9002,1,real,21,21,change,6,f,0,2661.5282,NA
9002,1,real,22,22,nochange,6,f,1,1256.1854,NA
9002,1,real,23,23,nochange,6,f,1,3327.772,NA
9002,1,real,24,24,nochange,6,f,1,1576.8203,1
9002,1,real,25,25,change,6,j,1,1565.9446,NA
9002,1,real,26,26,nochange,6,j,0,3712.8122,NA
9002,1,real,27,27,nochange,6,f,1,1367.5904,NA
9002,1,real,28,28,change,6,f,0,3708.6579,NA
9002,1,real,29,29,nochange,6,f,1,999.5139,NA
9002,1,real,30,30,nochange,6,j,0,1911.7839,NA
9002,1,real,31,31,change,6,f,0,1787.4922,NA
9002,1,real,32,32,nochange,6,f,1,1375.771,3
9002,1,real,33,33,change,6,j,1,1415.8533,NA
9002,1,real,34,34,change,6,j,1,1829.4997,NA
9002,1,real,35,35,nochange,6,f,1,2744.3476,NA
9002,1,real,36,36,change,6,j,1,1810.8072,NA
9002,1,real,37,37,nochange,6,f,1,2576.2891,NA
9002,1,real,38,38,nochange,6,f,1,952.7998,NA
9002,1,real,39,39,change,6,j,1,1637.1699,NA
9002,1,real,40,40,nochange,6,f,1,1295.5743,2
9002,1,real,41,41,change,6,j,1,1428.9538,NA
9002,1,real,42,42,change,6,j,1,981.0395,NA
9002,1,real,43,43,nochange,6,f,1,1887.2241,NA
9002,1,real,44,44,nochange,6,f,1,3366.2184,NA
9002,1,real,45,45,nochange,6,f,1,1007.2027,NA
9002,1,real,46,46,nochange,6,f,1,1048.7145,NA
9002,1,real,47,47,nochange,6,f,1,3472.0652,NA
9002,1,real,48,48,change,6,j,1,1157.0183,3
9002,1,real,49,49,change,6,j,1,1429.9091,NA
9002,1,real,50,50,nochange,6,f,1,1128.2171,NA
9002,1,real,51,51,change,6,j,1,892.5735,NA
9002,1,real,52,52,nochange,6,f,1,1790.9951,NA
9002,1,real,53,53,change,6,j,1,2492.2548,NA
9002,1,real,54,54,nochange,6,f,1,1911.3392,NA
9002,1,real,55,55,nochange,6,f,1,1095.7928,NA
9002,1,real,56,56,nochange,6,j,0,1576.3398,3
9002,1,real,57,57,change,6,f,0,860.8491,NA
9002,1,real,58,58,change,6,j,1,387.1716,NA
9002,1,real,59,59,change,6,j,1,0.171699999948,NA
9002,1,real,60,60,change,6,f,0,1858.5927,NA
9003,1,practice,0,1,nochange,6,f,1,1139.098,NA
9003,1,practice,0,2,nochange,6,f,1,772.8591,NA
9003,1,practice,0,3,change,6,j,1,1307.2854,NA
9003,1,practice,0,4,change,6,j,1,1855.8148,NA
9003,1,practice,0,5,nochange,6,f,1,611.9532,NA
9003,1,practice,0,6,change,6,j,1,1597.8036,NA
9003,1,real,1,1,change,6,j,1,4895.3684,NA
9003,1,real,2,2,nochange,6,f,1,1931.1276,NA
9003,1,real,3,3,change,6,f,0,1393.0462,NA
9003,1,real,4,4,change,6,j,1,1579.1751,NA
9003,1,real,5,5,nochange,6,f,1,1651.3757,NA
9003,1,real,6,6,nochange,6,f,1,4358.6451,NA
9003,1,real,7,7,nochange,6,f,1,1338.8757,NA
9003,1,real,8,8,nochange,6,f,1,788.384,2
9003,1,real,9,9,nochange,6,f,1,716.0625,NA
9003,1,real,10,10,nochange,6,f,1,1020.4523,NA
9003,1,real,11,11,nochange,6,f,1,2630.4909,NA
9003,1,real,12,12,nochange,6,f,1,1117.4923,NA
9003,1,real,13,13,change,6,j,1,1475.7641,NA
9003,1,real,14,14,change,6,j,1,1551.4902,NA
9003,1,real,15,15,nochange,6,f,1,1222.0627,NA
9003,1,real,16,16,change,6,j,1,1707.3685,1
9003,1,real,17,17,change,6,f,0,4170.3276,NA
9003,1,real,18,18,change,6,f,0,3641.3517,NA
9003,1,real,19,19,nochange,6,j,0,1675.2753,NA
9003,1,real,20,20,change,6,j,1,3107.3816,NA
9003,1,real,21,21,nochange,6,f,1,804.1171,NA
9003,1,real,22,22,nochange,6,f,1,625.4945,NA
9003,1,real,23,23,change,6,f,0,2233.27,NA
9003,1,real,24,24,nochange,6,f,1,1589.6881,1
9003,1,real,25,25,nochange,6,f,1,4004.0319,NA
9003,1,real,26,26,nochange,6,j,0,1572.3397,NA
9003,1,real,27,27,nochange,6,f,1,1812.1767,NA
9003,1,real,28,28,nochange,6,f,1,878.8678,NA
9003,1,real,29,29,change,6,f,0,984.9614,NA
9003,1,real,30,30,nochange,6,f,1,854.4416,NA
9003,1,real,31,31,change,6,j,1,3729.2904,NA
9003,1,real,32,32,nochange,6,f,1,1290.5142,3
9003,1,real,33,33,nochange,6,f,1,1162.0643,NA
9003,1,real,34,34,change,6,j,1,3105.6956,NA
9003,1,real,35,35,change,6,f,0,3690.0104,NA
9003,1,real,36,36,nochange,6,f,1,4092.2736,NA
9003,1,real,37,37,change,6,f,0,4314.1034,NA
9003,1,real,38,38,change,6,f,0,4122.857,NA
9003,1,real,39,39,change,6,j,1,673.0137,NA
9003,1,real,40,40,nochange,6,f,1,3629.9482,2
9003,1,real,41,41,change,6,j,1,1394.3724,NA
9003,1,real,42,42,change,6,f,0,6434.3202,NA
9003,1,real,43,43,nochange,6,f,1,1820.6496,NA
9003,1,real,44,44,nochange,6,j,0,358.4983,NA
9003,1,real,45,45,change,6,f,0,1816.6471,NA
9003,1,real,46,46,change,6,f,0,2074.7004,NA
9003,1,real,47,47,change,6,f,0,1694.9272,NA
9003,1,real,48,48,change,6,f,0,1121.4858,5
9003,1,real,49,49,change,6,f,0,1714.5344,NA
9003,1,real,50,50,change,6,f,0,946.8173,NA
9003,1,real,51,51,change,6,f,0,4422.5358,NA
9003,1,real,52,52,nochange,6,f,1,2929.6063,NA
9003,1,real,53,53,change,6,j,1,1176.9797,NA
9003,1,real,54,54,nochange,6,f,1,804.7332,NA
9003,1,real,55,55,change,6,j,1,3370.5466,NA
9003,1,real,56,56,change,6,f,0,1736.2128,2
9003,1,real,57,57,nochange,6,f,1,2206.2988,NA
9003,1,real,58,58,nochange,6,f,1,11817.602,NA
9003,1,real,59,59,change,6,j,1,1387.9058,NA
9003,1,real,60,60,nochange,6,j,0,4918.6837,NA
9004,1,practice,0,1,change,6,j,1,2283.2228,NA
9004,1,practice,0,2,change,6,j,1,3211.6995,NA
9004,1,practice,0,3,nochange,6,f,1,1573.7853,NA
9004,1,practice,0,4,nochange,6,f,1,1068.7847,NA
9004,1,practice,0,5,nochange,6,f,1,1654.8522,NA
9004,1,practice,0,6,change,6,j,1,1155.7491,NA
9004,1,real,1,1,change,6,j,1,1839.9111,NA
9004,1,real,2,2,change,6,j,1,1227.896,NA
9004,1,real,3,3,nochange,6,f,1,1140.6724,NA
9004,1,real,4,4,change,6,f,0,1771.2707,NA
9004,1,real,5,5,nochange,6,j,0,523.3069,NA
9004,1,real,6,6,change,6,f,0,1998.6685,NA
9004,1,real,7,7,change,6,j,1,1690.7062,NA
9004,1,real,8,8,change,6,j,1,1834.2333,4
9004,1,real,9,9,change,6,j,1,1231.1585,NA
9004,1,real,10,10,change,6,j,1,1415.0143,NA
9004,1,real,11,11,nochange,6,f,1,1256.5324,NA
9004,1,real,12,12,change,6,j,1,1440.5793,NA
9004,1,real,13,13,nochange,6,f,1,1215.7484,NA
9004,1,real,14,14,change,6,j,1,8178.4883,NA
9004,1,real,15,15,nochange,6,f,1,1249.6708,NA
9004,1,real,16,16,change,6,j,1,335.0846,4
9004,1,real,17,17,nochange,6,f,1,3119.0884,NA
9004,1,real,18,18,change,6,j,1,0.269900000014,NA
9004,1,real,19,19,nochange,6,j,0,0.207900000038,NA
9004,1,real,20,20,change,6,j,1,2067.6255,NA
9004,1,real,21,21,nochange,6,j,0,7532.4044,NA
9004,1,real,22,22,nochange,6,f,1,1078.1419,NA
9004,1,real,23,23,nochange,6,f,1,1865.671,NA
9004,1,real,24,24,change,6,j,1,1620.6643,4
9004,1,real,25,25,nochange,6,f,1,3532.4823,NA
9004,1,real,26,26,change,6,f,0,2275.3398,NA
9004,1,real,27,27,nochange,6,j,0,2818.5277,NA
9004,1,real,28,28,change,6,j,1,1092.3134,NA
9004,1,real,29,29,change,6,f,0,2745.1208,NA
9004,1,real,30,30,nochange,6,f,1,1466.1839,NA
9004,1,real,31,31,nochange,6,f,1,1164.7496,NA
9004,1,real,32,32,change,6,j,1,1286.7942,4
9004,1,real,33,33,nochange,6,j,0,1790.9892,NA
9004,1,real,34,34,change,6,j,1,3483.6846,NA
9004,1,real,35,35,nochange,6,j,0,4085.9071,NA
9004,1,real,36,36,nochange,6,j,0,7613.5185,NA
9004,1,real,37,37,change,6,f,0,0.817500000005,NA
9004,1,real,38,38,nochange,6,f,1,3272.2223,NA
9004,1,real,39,39,nochange,6,f,1,1755.9529,NA
9004,1,real,40,40,nochange,6,j,0,1017.0465,4
9004,1,real,41,41,change,6,j,1,0.314800000051,NA
9004,1,real,42,42,change,6,j,1,2037.6635,NA
9004,1,real,43,43,nochange,6,f,1,1304.6614,NA
9004,1,real,44,44,change,6,f,0,1672.4697,NA
9004,1,real,45,45,change,6,f,0,2497.023,NA
9004,1,real,46,46,change,6,j,1,1764.2283,NA
9004,1,real,47,47,nochange,6,f,1,1518.3621,NA
9004,1,real,48,48,change,6,j,1,1996.8123,4
9004,1,real,49,49,change,6,j,1,1174.9274,NA
9004,1,real,50,50,nochange,6,f,1,1875.5954,NA
9004,1,real,51,51,nochange,6,f,1,2581.2208,NA
9004,1,real,52,52,nochange,6,f,1,1282.7966,NA
9004,1,real,53,53,nochange,6,j,0,1411.4552,NA
9004,1,real,54,54,nochange,6,j,0,2087.1388,NA
9004,1,real,55,55,change,6,f,0,4925.2945,NA
9004,1,real,56,56,nochange,6,f,1,1677.913,4
9004,1,real,57,57,nochange,6,f,1,1443.1106,NA
9004,1,real,58,58,change,6,j,1,1322.5132,NA
9004,1,real,59,59,nochange,6,f,1,1942.1613,NA
9004,1,real,60,60,change,6,j,1,620.9674,NA
9005,1,practice,0,1,change,6,j,1,4832.098,NA
9005,1,practice,0,2,nochange,6,f,1,851.7408,NA
9005,1,practice,0,3,nochange,6,f,1,915.9421,NA
9005,1,practice,0,4,nochange,6,f,1,818.8994,NA
9005,1,practice,0,5,change,6,j,1,1049.1391,NA
9005,1,practice,0,6,change,6,j,1,1260.3177,NA
9005,1,real,1,1,nochange,6,f,1,854.5163,NA
9005,1,real,2,2,change,6,j,1,980.0144,NA
9005,1,real,3,3,nochange,6,f,1,1106.3538,NA
9005,1,real,4,4,nochange,6,f,1,756.1978,NA
9005,1,real,5,5,change,6,j,1,2258.9573,NA
9005,1,real,6,6,nochange,6,f,1,841.6289,NA
9005,1,real,7,7,change,6,j,1,2106.9443,NA
9005,1,real,8,8,nochange,6,f,1,1703.4569,1
9005,1,real,9,9,change,6,j,1,2492.1074,NA
9005,1,real,10,10,nochange,6,f,1,1275.5075,NA
9005,1,real,11,11,change,6,j,1,2417.2785,NA
9005,1,real,12,12,nochange,6,f,1,1704.2683,NA
9005,1,real,13,13,change,6,j,1,1131.1274,NA
9005,1,real,14,14,nochange,6,f,1,3328.6034,NA
9005,1,real,15,15,nochange,6,f,1,1612.4643,NA
9005,1,real,16,16,nochange,6,f,1,1274.5795,1
9005,1,real,17,17,change,6,j,1,1487.6804,NA
9005,1,real,18,18,change,6,f,0,1373.0097,NA
9005,1,real,19,19,nochange,6,f,1,1048.9777,NA
9005,1,real,20,20,nochange,6,f,1,1025.0053,NA
9005,1,real,21,21,change,6,j,1,954.1614,NA
9005,1,real,22,22,change,6,j,1,2320.1279,NA
9005,1,real,23,23,nochange,6,j,0,1391.0369,NA
9005,1,real,24,24,nochange,6,f,1,0.186500000011,3
9005,1,real,25,25,nochange,6,j,0,1550.987,NA
9005,1,real,26,26,nochange,6,f,1,1064.1155,NA
9005,1,real,27,27,nochange,6,f,1,823.2157,NA
9005,1,real,28,28,change,6,j,1,1537.5391,NA
9005,1,real,29,29,change,6,j,1,997.7264,NA
9005,1,real,30,30,nochange,6,j,0,1160.6416,NA
9005,1,real,31,31,nochange,6,f,1,781.2973,NA
9005,1,real,32,32,change,6,f,0,1709.6663,2
9005,1,real,33,33,nochange,6,f,1,1577.3142,NA
9005,1,real,34,34,change,6,f,0,2400.2768,NA
9005,1,real,35,35,change,6,j,1,1376.9625,NA
9005,1,real,36,36,nochange,6,f,1,843.8014,NA
9005,1,real,37,37,change,6,j,1,1407.9091,NA
9005,1,real,38,38,change,6,j,1,2947.7867,NA
9005,1,real,39,39,nochange,6,f,1,996.6504,NA
9005,1,real,40,40,change,6,f,0,1488.7502,2
