subject,session,date,time,item,acc,rt
9019,2,10/19/22,16:04,12,0,NA
9020,2,10/19/22,15:57,1,1,17959.838
9020,2,10/19/22,15:57,2,1,18003.8188
9020,2,10/19/22,15:57,3,1,34486.8159
9020,2,10/19/22,15:57,4,0,5024.2264
9020,2,10/19/22,15:57,5,1,13737.524
9020,2,10/19/22,15:57,6,0,28275.7699
9020,2,10/19/22,15:57,7,1,6694.3572
9020,2,10/19/22,15:57,8,1,23694.2988
9020,2,10/19/22,15:57,9,0,29560.6511
9020,2,10/19/22,15:57,10,0,3509.9513
9020,2,10/19/22,15:57,11,0,1080.4483
9020,2,10/19/22,15:57,12,0,1168.8059
9020,2,10/19/22,15:57,13,0,319.6892
9020,2,10/19/22,15:57,14,0,264.4404
9020,2,10/19/22,15:57,15,0,NA
9021,2,10/20/22,12:59,1,1,13825.2979
9021,2,10/20/22,12:59,2,1,16303.9875
9021,2,10/20/22,12:59,3,1,8872.9966
9021,2,10/20/22,12:59,4,1,3861.2473
9021,2,10/20/22,12:59,5,1,25523.2265
9021,2,10/20/22,12:59,6,0,27343.6815
9021,2,10/20/22,12:59,7,1,7185.928
9021,2,10/20/22,12:59,8,1,18353.7513
9021,2,10/20/22,12:59,9,0,23442.8794
9021,2,10/20/22,12:59,10,1,21329.9737
9021,2,10/20/22,12:59,11,0,18547.9899
9021,2,10/20/22,12:59,12,1,13384.7649
9021,2,10/20/22,12:59,13,1,29678.9691
9021,2,10/20/22,12:59,14,0,NA
9022,2,10/20/22,12:42,1,1,6056.4942
9022,2,10/20/22,12:42,2,1,7616.696
9022,2,10/20/22,12:42,3,1,3633.9594
9022,2,10/20/22,12:42,4,1,25333.8103
9022,2,10/20/22,12:42,5,0,18114.8841
9022,2,10/20/22,12:42,6,0,18130.5187
9022,2,10/20/22,12:42,7,1,3708.4455
9022,2,10/20/22,12:42,8,1,25920.1309
9022,2,10/20/22,12:42,9,0,18207.9644
9022,2,10/20/22,12:42,10,0,8343.5532
9022,2,10/20/22,12:42,11,0,8567.047
9022,2,10/20/22,12:42,12,1,10461.9531
9022,2,10/20/22,12:42,13,1,19177.8671
9022,2,10/20/22,12:42,14,1,28288.7405
9022,2,10/20/22,12:42,15,0,12539.8262
9023,2,10/20/22,12:55,1,1,4577.5794
9023,2,10/20/22,12:55,2,1,5902.929
9023,2,10/20/22,12:55,3,1,4010.3009
9023,2,10/20/22,12:55,4,1,4774.4511
9023,2,10/20/22,12:55,5,1,44848.559
9023,2,10/20/22,12:55,6,0,36497.0529
9023,2,10/20/22,12:55,7,1,12111.8802
9023,2,10/20/22,12:55,8,1,19960.8108
9023,2,10/20/22,12:55,9,1,30470.6547
9023,2,10/20/22,12:55,10,1,13604.3923
9023,2,10/20/22,12:55,11,1,37095.6746
9023,2,10/20/22,12:55,12,0,39723.089
9023,2,10/20/22,12:55,13,0,NA
9024,2,10/20/22,15:50,1,1,5054.9949
9024,2,10/20/22,15:50,2,1,7452.3737
9024,2,10/20/22,15:50,3,1,7770.1927
9024,2,10/20/22,15:50,4,1,4592.6808
9024,2,10/20/22,15:50,5,0,7667.5394
9024,2,10/20/22,15:50,6,0,26993.8375
9024,2,10/20/22,15:50,7,1,5911.7265
9024,2,10/20/22,15:50,8,1,12597.352
9024,2,10/20/22,15:50,9,1,16937.0775
9024,2,10/20/22,15:50,10,1,21262.5386
9024,2,10/20/22,15:50,11,1,6262.9207
9024,2,10/20/22,15:50,12,1,9514.7528
9024,2,10/20/22,15:50,13,1,22571.0202
9024,2,10/20/22,15:50,14,0,16173.815
9024,2,10/20/22,15:50,15,1,8683.5779
9025,2,10/27/22,15:59,1,1,5089.9747
9025,2,10/27/22,15:59,2,0,2665.1233
9025,2,10/27/22,15:59,3,1,3542.6969
9025,2,10/27/22,15:59,4,1,2494.545
9025,2,10/27/22,15:59,5,1,18020.7935
9025,2,10/27/22,15:59,6,0,49025.9632
9025,2,10/27/22,15:59,7,1,5280.5303
9025,2,10/27/22,15:59,8,1,9469.2817
9025,2,10/27/22,15:59,9,0,70619.2389
9025,2,10/27/22,15:59,10,1,11079.2159
9025,2,10/27/22,15:59,11,0,35261.1298
9025,2,10/27/22,15:59,12,1,7918.6986
9025,2,10/27/22,15:59,13,0,15179.2308
9025,2,10/27/22,15:59,14,0,NA
9026,2,10/26/22,10:31,1,1,7574.2618
9026,2,10/26/22,10:31,2,1,13881.8587
9026,2,10/26/22,10:31,3,1,12066.7774
9026,2,10/26/22,10:31,4,1,17754.6455
9026,2,10/26/22,10:31,5,0,51871.0521
9026,2,10/26/22,10:31,6,0,54532.1964
9026,2,10/26/22,10:31,7,1,5388.9409
9026,2,10/26/22,10:31,8,1,17929.9529
9026,2,10/26/22,10:31,9,1,15289.4159
9026,2,10/26/22,10:31,10,1,52952.0026
9026,2,10/26/22,10:31,11,0,NA
9027,2,10/21/22,10:21,1,1,14533.3359
9027,2,10/21/22,10:21,2,1,15515.648
9027,2,10/21/22,10:21,3,1,15256.9948
9027,2,10/21/22,10:21,4,1,39662.8282
9027,2,10/21/22,10:21,5,1,40370.838
9027,2,10/21/22,10:21,6,0,81909.6937
9027,2,10/21/22,10:21,7,0,39401.0104
9027,2,10/21/22,10:21,8,0,NA
9028,2,10/21/22,09:58,1,1,8969.0463
9028,2,10/21/22,09:58,2,1,10942.5401
9028,2,10/21/22,09:58,3,0,11968.2745
9028,2,10/21/22,09:58,4,1,3274.6714
9028,2,10/21/22,09:58,5,1,26110.9706
9028,2,10/21/22,09:58,6,0,17118.8878
9028,2,10/21/22,09:58,7,1,7564.0751
9028,2,10/21/22,09:58,8,1,18209.4245
9028,2,10/21/22,09:58,9,0,29234.7803
9028,2,10/21/22,09:58,10,0,11366.5272
9028,2,10/21/22,09:58,11,1,21933.4075
9028,2,10/21/22,09:58,12,0,14356.8334
9028,2,10/21/22,09:58,13,0,16477.1278
9028,2,10/21/22,09:58,14,0,28816.4693
9028,2,10/21/22,09:58,15,0,27853.7657
9029,2,10/21/22,13:00,1,0,NA
9029,2,10/21/22,13:00,2,1,14459.7185
9029,2,10/21/22,13:00,3,1,7136.879
9029,2,10/21/22,13:00,4,0,NA
9029,2,10/21/22,13:00,5,0,NA
9029,2,10/21/22,13:00,6,0,32772.4784
9029,2,10/21/22,13:00,7,0,15041.2443
9029,2,10/21/22,13:00,8,1,36585.8718
9029,2,10/21/22,13:00,9,0,16836.6759
9029,2,10/21/22,13:00,10,1,31632.4341
9029,2,10/21/22,13:00,11,0,10820.7996
9029,2,10/21/22,13:00,12,0,12635.361
9029,2,10/21/22,13:00,13,1,25440.7499
9029,2,10/21/22,13:00,14,0,27726.7379
9029,2,10/21/22,13:00,15,0,5043.1903
9030,2,10/21/22,12:49,1,1,6385.1031
9030,2,10/21/22,12:49,2,1,7356.3782
9030,2,10/21/22,12:49,3,1,15043.8711
9030,2,10/21/22,12:49,4,1,6742.5972
9030,2,10/21/22,12:49,5,1,14732.7203
9030,2,10/21/22,12:49,6,0,18569.9063
9030,2,10/21/22,12:49,7,1,6938.9324
9030,2,10/21/22,12:49,8,0,16018.8338
9030,2,10/21/22,12:49,9,0,21633.7955
9030,2,10/21/22,12:49,10,1,13304.1032
9030,2,10/21/22,12:49,11,0,28373.1399
9030,2,10/21/22,12:49,12,0,8621.9237
9030,2,10/21/22,12:49,13,0,13958.1102
9030,2,10/21/22,12:49,14,0,5317.2608
9030,2,10/21/22,12:49,15,0,6015.8082
9031,2,10/21/22,13:21,1,1,10946.5005
9031,2,10/21/22,13:21,2,1,6683.4191
9031,2,10/21/22,13:21,3,1,8333.8093
9031,2,10/21/22,13:21,4,1,7868.157
9031,2,10/21/22,13:21,5,0,21603.1851
9031,2,10/21/22,13:21,6,0,16210.5997
9031,2,10/21/22,13:21,7,1,8855.1369
9031,2,10/21/22,13:21,8,1,16077.297
9031,2,10/21/22,13:21,9,0,11635.288
9031,2,10/21/22,13:21,10,1,35149.251
9031,2,10/21/22,13:21,11,0,23125.9843
9031,2,10/21/22,13:21,12,1,8282.2343
9031,2,10/21/22,13:21,13,0,33673.689
9031,2,10/21/22,13:21,14,0,10526.5801
9031,2,10/21/22,13:21,15,1,3489.5789
9032,2,10/21/2022,15:41,1,1,4121.0078
9032,2,10/21/2022,15:41,2,1,7713.0131
9032,2,10/21/2022,15:41,3,1,3019.0509
9032,2,10/21/2022,15:41,4,1,3677.7008
9032,2,10/21/2022,15:41,5,0,6367.3891
9032,2,10/21/2022,15:41,6,0,8441.4264
9032,2,10/21/2022,15:41,7,1,5878.1275
9032,2,10/21/2022,15:41,8,1,10675.6511
9032,2,10/21/2022,15:41,9,0,NA
9032,2,10/21/2022,15:41,10,0,777.4892
9032,2,10/21/2022,15:41,11,0,570.6042
9032,2,10/21/2022,15:41,12,1,372.1196
9032,2,10/21/2022,15:41,13,0,247.7811
9032,2,10/21/2022,15:41,14,0,212.3053
9032,2,10/21/2022,15:41,15,1,231.8711
9033,2,10/21/22,15:50,1,1,5325.5649
9033,2,10/21/22,15:50,2,1,14123.8616
9033,2,10/21/22,15:50,3,1,10958.4137
9033,2,10/21/22,15:50,4,1,6487.8386
9033,2,10/21/22,15:50,5,1,28367.9368
9033,2,10/21/22,15:50,6,0,35300.3619
9033,2,10/21/22,15:50,7,1,9088.5563
9033,2,10/21/22,15:50,8,1,27949.9768
9033,2,10/21/22,15:50,9,0,48850.2792
9033,2,10/21/22,15:50,10,1,15574.5843
9033,2,10/21/22,15:50,11,1,39763.0067
9033,2,10/21/22,15:50,12,1,16841.3404
9033,2,10/21/22,15:50,13,0,NA
9035,2,11/14/22,12:49,1,1,8100.6297
9035,2,11/14/22,12:49,2,0,NA
9035,2,11/14/22,12:49,3,0,NA
9035,2,11/14/22,12:49,4,1,9855.6684
9035,2,11/14/22,12:49,5,0,27793.8714
9035,2,11/14/22,12:49,6,0,8719.9985
9035,2,11/14/22,12:49,7,0,NA
9035,2,11/14/22,12:49,8,1,8699.881
9035,2,11/14/22,12:49,9,0,31192.934
9035,2,11/14/22,12:49,10,1,12541.6519
9035,2,11/14/22,12:49,11,0,12826.5923
9035,2,11/14/22,12:49,12,1,8601.4734
9035,2,11/14/22,12:49,13,0,NA
9035,2,11/14/22,12:49,14,1,16995.783
9035,2,11/14/22,12:49,15,1,16010.3714
9036,2,11/14/22,13:02,1,0,5280.8622
9036,2,11/14/22,13:02,2,0,9111.5694
9036,2,11/14/22,13:02,3,1,4518.373
9036,2,11/14/22,13:02,4,1,4725.8371
9036,2,11/14/22,13:02,5,0,9893.1231
9036,2,11/14/22,13:02,6,0,31887.7464
9036,2,11/14/22,13:02,7,0,13120.9048
9036,2,11/14/22,13:02,8,1,20155.8823
9036,2,11/14/22,13:02,9,0,18117.5126
9036,2,11/14/22,13:02,10,1,25078.0754
9036,2,11/14/22,13:02,11,0,23425.2929
9036,2,11/14/22,13:02,12,1,7310.0604
9036,2,11/14/22,13:02,13,0,12156.1574
9036,2,11/14/22,13:02,14,1,6064.0727
9036,2,11/14/22,13:02,15,0,11855.0953
9037,2,11/14/22,12:47,1,1,4166.1249
9037,2,11/14/22,12:47,2,1,7397.6732
