subject,session,block,trial,subtrial,trialtype,ss,resp,acc,rt,probe_resp
9006,1,0,51,51,nochange,6,f,1,1772.1752,NA
9006,1,0,52,52,nochange,6,j,0,1965.5676,NA
9006,1,0,53,53,nochange,6,j,0,3520.7424,NA
9006,1,0,54,54,change,6,j,1,1417.8159,NA
9006,1,0,55,55,nochange,6,j,0,595.3964,NA
9006,1,0,56,56,change,6,j,1,1088.7898,2
9006,1,0,57,57,change,6,j,1,392.8874,NA
9006,1,0,58,58,change,6,f,0,497.3201,NA
9006,1,0,59,59,change,6,j,1,600.2872,NA
9006,1,0,60,60,change,6,f,0,852.3227,NA
9007,1,practice,0,1,nochange,6,j,0,4201.3858,NA
9007,1,practice,0,2,nochange,6,f,1,1889.236,NA
9007,1,practice,0,3,change,6,f,0,1576.6932,NA
9007,1,practice,0,4,change,6,j,1,4716.8347,NA
9007,1,practice,0,5,change,6,f,0,1626.4155,NA
9007,1,0,1,1,nochange,6,f,1,974.1852,NA
9007,1,0,2,2,change,6,f,0,1086.5541,NA
9007,1,0,3,3,nochange,6,f,1,1014.9037,NA
9007,1,0,4,4,nochange,6,f,1,895.3164,NA
9007,1,0,5,5,nochange,6,j,0,2512.8152,NA
9007,1,0,6,6,nochange,6,f,1,1036.4565,NA
9007,1,0,7,7,change,6,j,1,1680.7881,NA
9007,1,0,8,8,change,6,j,1,1106.2652,2
9007,1,0,9,9,change,6,f,0,1477.7305,NA
9007,1,0,10,10,change,6,j,1,1030.5284,NA
9007,1,0,11,11,change,6,j,1,919.5055,NA
9007,1,0,12,12,change,6,j,1,3966.6251,NA
9007,1,0,13,13,nochange,6,f,1,991.2362,NA
9007,1,0,14,14,nochange,6,f,1,4649.0439,NA
9007,1,0,15,15,change,6,j,1,1317.2124,NA
9007,1,0,16,16,nochange,6,f,1,1150.7396,1
9007,1,0,17,17,change,6,j,1,1447.9861,NA
9007,1,0,18,18,change,6,f,0,2959.2403,NA
9007,1,0,19,19,change,6,j,1,1186.7409,NA
9007,1,0,20,20,nochange,6,j,0,1024.4404,NA
9007,1,0,21,21,change,6,j,1,3698.5728,NA
9007,1,0,22,22,change,6,f,0,1363.9567,NA
9007,1,0,23,23,change,6,f,0,2301.977,NA
9007,1,0,24,24,change,6,j,1,1216.8605,5
9007,1,0,25,25,change,6,f,0,2066.2289,NA
9007,1,0,26,26,nochange,6,j,0,1034.1934,NA
9007,1,0,27,27,change,6,f,0,1032.3127,NA
9007,1,0,28,28,change,6,j,1,2948.6357,NA
9007,1,0,29,29,nochange,6,j,0,2216.5489,NA
9007,1,0,30,30,change,6,j,1,1505.6911,NA
9007,1,0,31,31,nochange,6,f,1,1481.1377,NA
9007,1,0,32,32,change,6,j,1,1500.3848,5
9007,1,0,33,33,change,6,j,1,1472.9351,NA
9007,1,0,34,34,nochange,6,f,1,1590.0743,NA
9007,1,0,35,35,change,6,j,1,1222.1327000000001,NA
9007,1,0,36,36,nochange,6,f,1,1224.1244,NA
9007,1,0,37,37,nochange,6,f,1,1119.1022,NA
9007,1,0,38,38,change,6,f,0,1871.6039,NA
9007,1,0,39,39,nochange,6,j,0,966.8508,NA
9007,1,0,40,40,nochange,6,j,0,1046.9715,5
9007,1,0,41,41,nochange,6,f,1,4188.1028,NA
9007,1,0,42,42,nochange,6,f,1,1268.0571,NA
9007,1,0,43,43,nochange,6,j,0,1537.5272,NA
9007,1,0,44,44,nochange,6,f,1,1011.7791,NA
9007,1,0,45,45,nochange,6,f,1,735.7782,NA
9007,1,0,46,46,change,6,f,0,1034.5088,NA
9007,1,0,47,47,change,6,j,1,731.695,NA
9007,1,0,48,48,nochange,6,j,0,2062.9727,5
9007,1,0,49,49,nochange,6,f,1,1239.9608,NA
9007,1,0,50,50,nochange,6,j,0,1614.3294,NA
9007,1,0,51,51,change,6,j,1,930.6564,NA
9007,1,0,52,52,nochange,6,j,0,1266.8472,NA
9007,1,0,53,53,change,6,j,1,1286.845,NA
9007,1,0,54,54,nochange,6,f,1,2959.209,NA
9007,1,0,55,55,change,6,f,0,892.6807,NA
9007,1,0,56,56,change,6,j,1,891.2354,5
9007,1,0,57,57,change,6,f,0,2953.717,NA
9007,1,0,58,58,nochange,6,j,0,4825.6261,NA
9007,1,0,59,59,nochange,6,f,1,875.1208,NA
9007,1,0,60,60,nochange,6,j,0,1934.0287,NA
9008,1,practice,0,1,change,6,f,0,5473.9844,NA
9008,1,practice,0,2,nochange,6,f,1,1802.3776,NA
9008,1,practice,0,3,nochange,6,f,1,1386.3591,NA
9008,1,practice,0,4,change,6,f,0,1019.8426,NA
9008,1,practice,0,5,change,6,j,1,1324.3818,NA
9008,1,0,1,1,nochange,6,f,1,5865.1978,NA
9008,1,0,2,2,nochange,6,f,1,5468.1359,NA
9008,1,0,3,3,nochange,6,j,0,1384.9831,NA
9008,1,0,4,4,change,6,j,1,1310.9495,NA
9008,1,0,5,5,change,6,j,1,2377.7051,NA
9008,1,0,6,6,change,6,j,1,1990.2554,NA
9008,1,0,7,7,change,6,j,1,1579.6521,NA
9008,1,0,8,8,change,6,j,1,2117.0936,1
9008,1,0,9,9,change,6,f,0,2324.9429,NA
9008,1,0,10,10,nochange,6,f,1,1706.1296,NA
9008,1,0,11,11,change,6,j,1,3821.2236,NA
9008,1,0,12,12,nochange,6,f,1,2696.7424,NA
9008,1,0,13,13,change,6,j,1,2349.0489,NA
9008,1,0,14,14,nochange,6,j,0,4588.5041,NA
9008,1,0,15,15,change,6,f,0,1662.8348,NA
9008,1,0,16,16,nochange,6,f,1,1152.8294,2
9008,1,0,17,17,nochange,6,f,1,1381.8834,NA
9008,1,0,18,18,nochange,6,f,1,1451.7068,NA
9008,1,0,19,19,change,6,j,1,851.7364,NA
9008,1,0,20,20,change,6,j,1,1928.6723,NA
9008,1,0,21,21,nochange,6,f,1,2173.3578,NA
9008,1,0,22,22,change,6,f,0,2391.8603,NA
9008,1,0,23,23,nochange,6,f,1,2336.7523,NA
9008,1,0,24,24,change,6,f,0,2993.8898,1
9008,1,0,25,25,change,6,f,0,1989.9666,NA
9008,1,0,26,26,change,6,j,1,1233.1988,NA
9008,1,0,27,27,change,6,f,0,1909.2511,NA
