subject,session,date,time,block,trial,delay,acc,rt,target_side
9002,1,10/3/2022,10:01,antisaccade,28,3000,1,1141.4032,left
9002,1,10/3/2022,10:01,antisaccade,29,3000,1,966.3632,right
9002,1,10/3/2022,10:01,antisaccade,30,3000,1,952.845,right
9002,1,10/3/2022,10:01,antisaccade,31,2000,0,1390.7047,right
9002,1,10/3/2022,10:01,antisaccade,32,3000,0,985.3808,right
9002,1,10/3/2022,10:01,antisaccade,33,2000,1,714.0831,right
9002,1,10/3/2022,10:01,antisaccade,34,2000,1,638.2727,right
9002,1,10/3/2022,10:01,antisaccade,35,2000,1,800.207,left
9002,1,10/3/2022,10:01,antisaccade,36,3000,0,1490.2367,right
9002,1,10/3/2022,10:01,antisaccade,37,2000,1,941.641,left
9002,1,10/3/2022,10:01,antisaccade,38,2000,0,1279.0273,right
9002,1,10/3/2022,10:01,antisaccade,39,3000,1,786.6932,right
9002,1,10/3/2022,10:01,antisaccade,40,2000,1,781.7442,left
9002,1,10/3/2022,10:01,antisaccade,41,2000,0,833.0996,right
9002,1,10/3/2022,10:01,antisaccade,42,2000,1,875.7547,left
9002,1,10/3/2022,10:01,antisaccade,43,3000,1,767.2965,right
9002,1,10/3/2022,10:01,antisaccade,44,3000,0,1132.4995,left
9002,1,10/3/2022,10:01,antisaccade,45,3000,1,630.9854,right
9002,1,10/3/2022,10:01,antisaccade,46,2000,0,1236.2495,right
9002,1,10/3/2022,10:01,antisaccade,47,2000,1,875.9899,right
9002,1,10/3/2022,10:01,antisaccade,48,2000,0,798.1596,left
9002,1,10/3/2022,10:01,antisaccade,49,2000,0,966.9424,left
9002,1,10/3/2022,10:01,antisaccade,50,3000,1,766.4568,left
9002,1,10/3/2022,10:01,antisaccade,51,3000,1,783.7548,right
9002,1,10/3/2022,10:01,antisaccade,52,2000,1,934.9507,right
9002,1,10/3/2022,10:01,antisaccade,53,3000,1,708.5696,left
9002,1,10/3/2022,10:01,antisaccade,54,2000,0,1050.8895,right
9002,1,10/3/2022,10:01,antisaccade,55,3000,1,1200.2374,left
9002,1,10/3/2022,10:01,antisaccade,56,2000,1,633.0706,right
9002,1,10/3/2022,10:01,antisaccade,57,3000,0,883.3913,left
9002,1,10/3/2022,10:01,antisaccade,58,3000,0,1081.9778,left
9002,1,10/3/2022,10:01,antisaccade,59,2000,0,1021.7743,left
9002,1,10/3/2022,10:01,antisaccade,60,2000,0,1140.786,left
9003,1,10/3/2022,9:55,slow_practice,1,2000,1,2366.2457,left
9003,1,10/3/2022,9:55,slow_practice,2,2000,1,648.5423,left
9003,1,10/3/2022,9:55,slow_practice,3,2000,1,505.0061,right
9003,1,10/3/2022,9:55,slow_practice,4,3000,1,773.2117,right
9003,1,10/3/2022,9:55,slow_practice,5,3000,1,647.5122,left
9003,1,10/3/2022,9:55,slow_practice,6,2000,1,504.3547,right
9003,1,10/3/2022,9:55,slow_practice,7,3000,1,506.5717,right
9003,1,10/3/2022,9:55,slow_practice,8,2000,0,556.1543,left
9003,1,10/3/2022,9:55,fast_practice,1,3000,1,913.5811,left
9003,1,10/3/2022,9:55,fast_practice,2,2000,1,970.3112,right
9003,1,10/3/2022,9:55,fast_practice,3,2000,1,521.9335,left
9003,1,10/3/2022,9:55,fast_practice,4,2000,1,3332.273,right
9003,1,10/3/2022,9:55,fast_practice,5,2000,1,453.6972,right
9003,1,10/3/2022,9:55,fast_practice,6,3000,1,831.7663,right
9003,1,10/3/2022,9:55,fast_practice,7,2000,1,614.8029,left
9003,1,10/3/2022,9:55,fast_practice,8,3000,1,2358.347,left
9003,1,10/3/2022,9:55,fast_practice,9,2000,0,1204.5472,right
9003,1,10/3/2022,9:55,fast_practice,10,3000,0,978.8784,right
9003,1,10/3/2022,9:55,fast_practice,11,3000,1,1717.1872,right
9003,1,10/3/2022,9:55,fast_practice,12,2000,1,655.6561,left
9003,1,10/3/2022,9:55,fast_practice,13,3000,1,969.8054,right
9003,1,10/3/2022,9:55,fast_practice,14,2000,1,1115.9234,left
9003,1,10/3/2022,9:55,fast_practice,15,3000,1,3150.5742,right
9003,1,10/3/2022,9:55,fast_practice,16,2000,1,572.9782,left
9003,1,10/3/2022,9:55,antisaccade,1,2000,0,473.8424,right
9003,1,10/3/2022,9:55,antisaccade,2,3000,0,561.6498,right
9003,1,10/3/2022,9:55,antisaccade,3,3000,0,2091.9766,left
9003,1,10/3/2022,9:55,antisaccade,4,3000,1,796.991,right
9003,1,10/3/2022,9:55,antisaccade,5,3000,0,845.8827,left
9003,1,10/3/2022,9:55,antisaccade,6,2000,0,1453.7116,left
9003,1,10/3/2022,9:55,antisaccade,7,2000,1,641.9287,left
9003,1,10/3/2022,9:55,antisaccade,8,2000,1,608.372,right
9003,1,10/3/2022,9:55,antisaccade,9,2000,0,1020.2843,left
9003,1,10/3/2022,9:55,antisaccade,10,2000,1,1565.9813,right
9003,1,10/3/2022,9:55,antisaccade,11,2000,1,1438.7056,left
9003,1,10/3/2022,9:55,antisaccade,12,3000,0,912.2575,right
9003,1,10/3/2022,9:55,antisaccade,13,3000,0,876.3021,right
9003,1,10/3/2022,9:55,antisaccade,14,3000,0,810.6047,left
9003,1,10/3/2022,9:55,antisaccade,15,3000,1,627.3268,right
9003,1,10/3/2022,9:55,antisaccade,16,3000,1,654.4548,left
9003,1,10/3/2022,9:55,antisaccade,17,2000,1,610.152,right
9003,1,10/3/2022,9:55,antisaccade,18,3000,1,735.8584,right
9003,1,10/3/2022,9:55,antisaccade,19,3000,0,756.3147,left
9003,1,10/3/2022,9:55,antisaccade,20,2000,1,639.36,right
9003,1,10/3/2022,9:55,antisaccade,21,2000,1,732.4543,right
9003,1,10/3/2022,9:55,antisaccade,22,2000,1,533.1856,right
9003,1,10/3/2022,9:55,antisaccade,23,3000,1,667.9791,right
9003,1,10/3/2022,9:55,antisaccade,24,3000,1,533.28510000000006,left
9003,1,10/3/2022,9:55,antisaccade,25,2000,1,607.6769,left
9003,1,10/3/2022,9:55,antisaccade,26,2000,0,1042.8198,left
9003,1,10/3/2022,9:55,antisaccade,27,3000,1,652.1289,left
9003,1,10/3/2022,9:55,antisaccade,28,3000,1,846.1128,right
9003,1,10/3/2022,9:55,antisaccade,29,2000,0,776.0838,left
9003,1,10/3/2022,9:55,antisaccade,30,3000,1,617.5023,left
9003,1,10/3/2022,9:55,antisaccade,31,2000,0,997.8344,left
9003,1,10/3/2022,9:55,antisaccade,32,3000,1,548.0237,left
9003,1,10/3/2022,9:55,antisaccade,33,2000,0,1103.1416,left
9003,1,10/3/2022,9:55,antisaccade,34,2000,1,645.9992,left
9003,1,10/3/2022,9:55,antisaccade,35,3000,1,545.3192,left
9003,1,10/3/2022,9:55,antisaccade,36,2000,1,972.4517,left
9003,1,10/3/2022,9:55,antisaccade,37,3000,1,527.4888,left
9003,1,10/3/2022,9:55,antisaccade,38,2000,1,833.1481,right
9003,1,10/3/2022,9:55,antisaccade,39,2000,0,3364.5607,left
9003,1,10/3/2022,9:55,antisaccade,40,2000,1,930.7104,right
9003,1,10/3/2022,9:55,antisaccade,41,3000,1,549.857,right
9003,1,10/3/2022,9:55,antisaccade,42,2000,1,590.5422,right
9003,1,10/3/2022,9:55,antisaccade,43,2000,0,748.5972,left
9003,1,10/3/2022,9:55,antisaccade,44,2000,1,624.9194,right
9003,1,10/3/2022,9:55,antisaccade,45,2000,1,630.6112,right
9003,1,10/3/2022,9:55,antisaccade,46,2000,1,505.2422,right
9003,1,10/3/2022,9:55,antisaccade,47,3000,1,485.98630000000003,right
9003,1,10/3/2022,9:55,antisaccade,48,2000,1,527.5452,right
9003,1,10/3/2022,9:55,antisaccade,49,3000,1,629.3319,left
9003,1,10/3/2022,9:55,antisaccade,50,2000,0,961.7686,left
9003,1,10/3/2022,9:55,antisaccade,51,3000,1,605.5513,right
9003,1,10/3/2022,9:55,antisaccade,52,3000,1,776.6451,left
9003,1,10/3/2022,9:55,antisaccade,53,3000,1,777.3469,right
9003,1,10/3/2022,9:55,antisaccade,54,2000,1,762.8654,right
9003,1,10/3/2022,9:55,antisaccade,55,2000,1,1599.4085,left
9003,1,10/3/2022,9:55,antisaccade,56,3000,1,525.8664,right
9003,1,10/3/2022,9:55,antisaccade,57,2000,1,591.1179,left
9003,1,10/3/2022,9:55,antisaccade,58,3000,1,1671.1208,left
9003,1,10/3/2022,9:55,antisaccade,59,3000,0,861.7504,right
9003,1,10/3/2022,9:55,antisaccade,60,3000,1,1479.8266,right
9004,1,10/3/2022,12:28,slow_practice,1,2000,1,4169.1332,left
9004,1,10/3/2022,12:28,slow_practice,2,3000,1,1649.8122,right
9004,1,10/3/2022,12:28,slow_practice,3,3000,1,1280.3667,right
9004,1,10/3/2022,12:28,slow_practice,4,3000,1,1046.6965,left
9004,1,10/3/2022,12:28,slow_practice,5,3000,1,1246.8195,left
9004,1,10/3/2022,12:28,slow_practice,6,2000,1,987.6707,right
9004,1,10/3/2022,12:28,slow_practice,7,3000,1,853.8083,right
9004,1,10/3/2022,12:28,slow_practice,8,2000,1,801.4634,right
9004,1,10/3/2022,12:28,fast_practice,1,3000,1,3305.5037,left
9004,1,10/3/2022,12:28,fast_practice,2,3000,1,1491.9775,right
9004,1,10/3/2022,12:28,fast_practice,3,3000,1,761.7661,right
9004,1,10/3/2022,12:28,fast_practice,4,3000,0,1003.7167,right
9004,1,10/3/2022,12:28,fast_practice,5,3000,0,1020.6715,right
9004,1,10/3/2022,12:28,fast_practice,6,2000,1,1431.307,left
9004,1,10/3/2022,12:28,fast_practice,7,2000,1,790.6476,right
9004,1,10/3/2022,12:28,fast_practice,8,2000,1,935.371,left
9004,1,10/3/2022,12:28,fast_practice,9,3000,1,954.4206,right
9004,1,10/3/2022,12:28,fast_practice,10,2000,1,729.0077,left
9004,1,10/3/2022,12:28,fast_practice,11,2000,1,547.0274,left
9004,1,10/3/2022,12:28,fast_practice,12,3000,0,514.9058,left
9004,1,10/3/2022,12:28,fast_practice,13,2000,0,524.2343,left
9004,1,10/3/2022,12:28,fast_practice,14,2000,1,756.5799,left
9004,1,10/3/2022,12:28,fast_practice,15,3000,0,790.288,right
9004,1,10/3/2022,12:28,fast_practice,16,3000,0,770.9335,right
9004,1,10/3/2022,12:28,antisaccade,1,2000,1,1085.4814,left
9004,1,10/3/2022,12:28,antisaccade,2,2000,1,759.6523,left
9004,1,10/3/2022,12:28,antisaccade,3,3000,0,863.9431,right
9004,1,10/3/2022,12:28,antisaccade,4,2000,1,698.991,left
9004,1,10/3/2022,12:28,antisaccade,5,3000,1,1093.6599,left
9004,1,10/3/2022,12:28,antisaccade,6,2000,1,947.6807,right
9004,1,10/3/2022,12:28,antisaccade,7,3000,0,1092.6807,left
9004,1,10/3/2022,12:28,antisaccade,8,2000,1,805.1833,right
9004,1,10/3/2022,12:28,antisaccade,9,2000,1,2060.2235,left
9004,1,10/3/2022,12:28,antisaccade,10,3000,1,669.7088,right
9004,1,10/3/2022,12:28,antisaccade,11,3000,1,723.1901,left
9004,1,10/3/2022,12:28,antisaccade,12,2000,1,701.6543,right
9004,1,10/3/2022,12:28,antisaccade,13,2000,0,1138.1847,right
9004,1,10/3/2022,12:28,antisaccade,14,2000,0,3713.06,right
9004,1,10/3/2022,12:28,antisaccade,15,2000,1,609.9849,right
9004,1,10/3/2022,12:28,antisaccade,16,3000,1,847.9486,left
9004,1,10/3/2022,12:28,antisaccade,17,3000,1,920.2198,right
9004,1,10/3/2022,12:28,antisaccade,18,3000,1,1698.526,right
9004,1,10/3/2022,12:28,antisaccade,19,2000,1,647.6972,left
9004,1,10/3/2022,12:28,antisaccade,20,2000,1,842.4432,left
9004,1,10/3/2022,12:28,antisaccade,21,3000,1,648.6806,left
9004,1,10/3/2022,12:28,antisaccade,22,3000,0,897.0669,right
9004,1,10/3/2022,12:28,antisaccade,23,2000,0,678.3144,left
9004,1,10/3/2022,12:28,antisaccade,24,2000,1,1235.1927,right
