subject,session,date,time,list,phase,serial_position,cue,target,rt,correct
9002,2,10/24/22,09:17:00,10,recall,1,NA,waist,2321.555,1
9002,2,10/24/22,09:17:00,10,recall,2,NA,spine,1252.9774,1
9002,2,10/24/22,09:17:00,10,recall,3,NA,union,1716.6572,1
9002,2,10/24/22,09:17:00,10,recall,3,NA,level,1684.3459,0
9003,2,10/24/22,09:52:00,1,recall,10,NA,enemy,3144.0253,1
9003,2,10/24/22,09:52:00,1,recall,8,NA,witch,5028.1088,1
9003,2,10/24/22,09:52:00,1,recall,2,NA,chord,2123.0168,1
9003,2,10/24/22,09:52:00,1,recall,1,NA,irony,1762.8802,1
9003,2,10/24/22,09:52:00,1,recall,3,NA,fever,1212.0734,1
9003,2,10/24/22,09:52:00,2,recall,10,NA,cobra,3802.2647,1
9003,2,10/24/22,09:52:00,2,recall,9,NA,rebel,1459.5042,1
9003,2,10/24/22,09:52:00,2,recall,4,NA,bacon,2394.9823,1
9003,2,10/24/22,09:52:00,2,recall,3,NA,chaos,2042.3361,1
9003,2,10/24/22,09:52:00,2,recall,9,NA,rebel,3028.924,1
9003,2,10/24/22,09:52:00,3,recall,9,NA,grief,2626.5867,1
9003,2,10/24/22,09:52:00,3,recall,10,NA,event,1109.0228,1
9003,2,10/24/22,09:52:00,3,recall,6,NA,moron,1642.8765,1
9003,2,10/24/22,09:52:00,3,recall,2,NA,genie,1410.3525,1
9003,2,10/24/22,09:52:00,3,recall,3,NA,squad,1382.34,1
9003,2,10/24/22,09:52:00,3,recall,4,NA,cabin,2801.798,1
9003,2,10/24/22,09:52:00,3,recall,1,NA,blade,2274.3635,1
9003,2,10/24/22,09:52:00,3,recall,1,NA,magic,30186.5162,0
9003,2,10/24/22,09:52:00,4,recall,8,NA,brick,2579.1116,1
9003,2,10/24/22,09:52:00,4,recall,9,NA,photo,1436.0819,1
9003,2,10/24/22,09:52:00,4,recall,10,NA,cedar,1824.619,1
9003,2,10/24/22,09:52:00,4,recall,1,NA,spite,2074.7437,1
9003,2,10/24/22,09:52:00,4,recall,1,NA,rabbit,1218.9439,0
9003,2,10/24/22,09:52:00,4,recall,2,NA,rabbi,2379.0234,1
9003,2,10/24/22,09:52:00,4,recall,4,NA,style,1498.6095,1
9003,2,10/24/22,09:52:00,4,recall,4,NA,hate,1273.7521,0
9003,2,10/24/22,09:52:00,4,recall,5,NA,daddy,1458.6935,1
9003,2,10/24/22,09:52:00,5,recall,10,NA,kitty,2522.1919,1
9003,2,10/24/22,09:52:00,5,recall,9,NA,mayor,1434.9471,1
9003,2,10/24/22,09:52:00,5,recall,1,NA,queen,8020.4192,1
9003,2,10/24/22,09:52:00,5,recall,1,NA,money,1131.3299,0
9003,2,10/24/22,09:52:00,5,recall,6,NA,asset,1635.2288,1
9003,2,10/24/22,09:52:00,5,recall,4,NA,penny,1538.0387,1
