subject,session,block,list,setsize,matherrors,lettertotal,ospantotal,motivation,alertness
9021,2,realblock,7,3,1,3,36,NA,NA
9021,2,realblock,8,4,1,4,40,NA,NA
9021,2,realblock,9,3,0,2,42,NA,NA
9021,2,realblock,10,7,0,7,49,NA,NA
9022,2,realblock,1,7,1,7,7,NA,NA
9022,2,realblock,2,4,0,4,11,NA,NA
9022,2,realblock,3,6,0,2,13,NA,NA
9022,2,realblock,4,6,0,4,17,NA,NA
9022,2,realblock,5,5,0,5,22,NA,NA
9022,2,realblock,6,3,0,3,25,NA,NA
9022,2,realblock,7,7,0,4,29,NA,NA
9022,2,realblock,8,3,1,2,31,NA,NA
9022,2,realblock,9,4,1,4,35,NA,NA
9022,2,realblock,10,5,0,3,38,NA,NA
9023,2,realblock,1,6,0,6,6,NA,NA
9023,2,realblock,2,7,0,7,13,NA,NA
9023,2,realblock,3,3,0,3,16,NA,NA
9023,2,realblock,4,7,1,6,22,NA,NA
9023,2,realblock,5,6,2,6,28,NA,NA
9023,2,realblock,6,4,0,4,32,NA,NA
9023,2,realblock,7,5,0,5,37,NA,NA
9023,2,realblock,8,3,0,3,40,NA,NA
9023,2,realblock,9,5,0,5,45,NA,NA
9023,2,realblock,10,4,0,4,49,NA,NA
9024,2,realblock,1,7,1,6,6,NA,NA
9024,2,realblock,2,5,1,5,11,NA,NA
9024,2,realblock,3,3,0,3,14,NA,NA
9024,2,realblock,4,4,1,4,18,NA,NA
9024,2,realblock,5,4,0,4,22,NA,NA
9024,2,realblock,6,6,0,1,23,NA,NA
9024,2,realblock,7,3,0,3,26,NA,NA
9024,2,realblock,8,7,2,0,26,NA,NA
9024,2,realblock,9,5,0,5,31,NA,NA
9024,2,realblock,10,6,0,2,33,NA,NA
9025,2,realblock,1,7,1,7,7,NA,NA
9025,2,realblock,2,5,0,5,12,NA,NA
9025,2,realblock,3,4,0,4,16,NA,NA
9025,2,realblock,4,3,0,3,19,NA,NA
9025,2,realblock,5,6,1,3,22,NA,NA
9025,2,realblock,6,6,0,6,28,NA,NA
9025,2,realblock,7,7,0,2,30,NA,NA
9025,2,realblock,8,5,2,5,35,NA,NA
9025,2,realblock,9,4,0,4,39,NA,NA
9025,2,realblock,10,3,0,3,42,NA,NA
9026,2,realblock,1,5,0,5,5,NA,NA
9026,2,realblock,2,4,3,4,9,NA,NA
9026,2,realblock,3,5,0,5,14,NA,NA
9026,2,realblock,4,4,0,4,18,NA,NA
9026,2,realblock,5,7,0,3,21,NA,NA
9026,2,realblock,6,6,0,6,27,NA,NA
9026,2,realblock,7,3,0,3,30,NA,NA
9026,2,realblock,8,6,0,6,36,NA,NA
9026,2,realblock,9,3,0,3,39,NA,NA
9026,2,realblock,10,7,0,5,44,NA,NA
9027,2,realblock,1,7,0,5,5,NA,NA
9027,2,realblock,2,6,0,6,11,NA,NA
9027,2,realblock,3,5,0,5,16,NA,NA
9027,2,realblock,4,4,0,4,20,NA,NA
9027,2,realblock,5,5,1,2,22,NA,NA
9027,2,realblock,6,7,1,7,29,NA,NA
9027,2,realblock,7,6,0,6,35,NA,NA
9027,2,realblock,8,4,0,4,39,NA,NA
9027,2,realblock,9,3,0,3,42,NA,NA
9027,2,realblock,10,3,0,3,45,NA,NA
9028,2,realblock,1,5,3,5,5,NA,NA
9028,2,realblock,2,7,0,0,5,NA,NA
9028,2,realblock,3,5,0,5,10,NA,NA
9028,2,realblock,4,6,2,6,16,NA,NA
9028,2,realblock,5,4,0,4,20,NA,NA
9028,2,realblock,6,4,0,4,24,NA,NA
9028,2,realblock,7,3,0,3,27,NA,NA
9028,2,realblock,8,6,0,6,33,NA,NA
9028,2,realblock,9,3,0,3,36,NA,NA
9028,2,realblock,10,7,0,5,41,NA,NA
9029,2,realblock,1,3,0,3,3,NA,NA
9029,2,realblock,2,7,1,3,6,NA,NA
9029,2,realblock,3,4,1,3,9,NA,NA
9029,2,realblock,4,7,2,1,10,NA,NA
9029,2,realblock,5,5,1,4,14,NA,NA
9029,2,realblock,6,6,0,3,17,NA,NA
9029,2,realblock,7,3,0,3,20,NA,NA
9029,2,realblock,8,4,2,4,24,NA,NA
9029,2,realblock,9,6,1,2,26,NA,NA
9029,2,realblock,10,5,0,3,29,NA,NA
9030,2,realblock,1,7,1,5,5,NA,NA
9030,2,realblock,2,4,1,4,9,NA,NA
9030,2,realblock,3,5,0,5,14,NA,NA
9030,2,realblock,4,6,0,5,19,NA,NA
9030,2,realblock,5,3,0,3,22,NA,NA
9030,2,realblock,6,7,0,4,26,NA,NA
9030,2,realblock,7,3,0,3,29,NA,NA
9030,2,realblock,8,5,1,5,34,NA,NA
9030,2,realblock,9,6,1,3,37,NA,NA
9030,2,realblock,10,4,0,4,41,NA,NA
9031,2,realblock,1,5,2,5,5,NA,NA
9031,2,realblock,2,7,0,4,9,NA,NA
9031,2,realblock,3,4,0,4,13,NA,NA
9031,2,realblock,4,5,0,2,15,NA,NA
9031,2,realblock,5,6,0,6,21,NA,NA
9031,2,realblock,6,4,0,3,24,NA,NA
9031,2,realblock,7,7,2,2,26,NA,NA
9031,2,realblock,8,3,0,2,28,NA,NA
9031,2,realblock,9,6,1,4,32,NA,NA
9031,2,realblock,10,3,0,3,35,NA,NA
9032,2,realblock,1,6,1,6,6,NA,NA
9032,2,realblock,2,7,2,7,13,NA,NA
9032,2,realblock,3,6,0,6,19,NA,NA
9032,2,realblock,4,4,0,4,23,NA,NA
9032,2,realblock,5,4,0,4,27,NA,NA
9032,2,realblock,6,3,0,3,30,NA,NA
9032,2,realblock,7,3,1,3,33,NA,NA
9032,2,realblock,8,7,1,5,38,NA,NA
9032,2,realblock,9,5,0,5,43,NA,NA
9032,2,realblock,10,5,0,5,48,NA,NA
9033,2,realblock,1,6,0,6,6,NA,NA
9033,2,realblock,2,6,0,6,12,NA,NA
9033,2,realblock,3,3,0,2,14,NA,NA
9033,2,realblock,4,5,1,5,19,NA,NA
9033,2,realblock,5,5,0,5,24,NA,NA
9033,2,realblock,6,7,0,7,31,NA,NA
9033,2,realblock,7,3,0,3,34,NA,NA
9033,2,realblock,8,4,1,4,38,NA,NA
9033,2,realblock,9,7,1,7,45,NA,NA
9033,2,realblock,10,4,0,4,49,NA,NA
9034,2,realblock,1,3,0,3,3,NA,NA
9034,2,realblock,2,6,0,6,9,NA,NA
9034,2,realblock,3,5,0,5,14,NA,NA
9034,2,realblock,4,6,1,4,18,NA,NA
9034,2,realblock,5,4,0,4,22,NA,NA
9034,2,realblock,6,4,1,3,25,NA,NA
9034,2,realblock,7,3,0,3,28,NA,NA
9034,2,realblock,8,7,0,7,35,NA,NA
9034,2,realblock,9,7,0,1,36,NA,NA
9034,2,realblock,10,5,0,4,40,NA,NA
9035,2,realblock,1,4,0,4,4,NA,NA
9035,2,realblock,2,6,0,6,10,NA,NA
9035,2,realblock,3,3,0,3,13,NA,NA
9035,2,realblock,4,5,1,2,15,NA,NA
9035,2,realblock,5,5,0,5,20,NA,NA
9035,2,realblock,6,6,1,4,24,NA,NA
9035,2,realblock,7,3,0,3,27,NA,NA
9035,2,realblock,8,4,0,4,31,NA,NA
9035,2,realblock,9,7,2,2,33,NA,NA
9035,2,realblock,10,7,1,1,34,NA,NA
9036,2,realblock,1,7,1,7,7,NA,NA
9036,2,realblock,2,6,1,6,13,NA,NA
9036,2,realblock,3,3,1,3,16,NA,NA
9036,2,realblock,4,5,1,5,21,NA,NA
9036,2,realblock,5,6,0,6,27,NA,NA
9036,2,realblock,6,4,0,4,31,NA,NA
9036,2,realblock,7,3,0,3,34,NA,NA
9036,2,realblock,8,7,1,7,41,NA,NA
9036,2,realblock,9,4,0,4,45,NA,NA
9036,2,realblock,10,5,1,5,50,NA,NA
9037,2,realblock,1,5,0,5,5,NA,NA
9037,2,realblock,2,7,0,7,12,NA,NA
9037,2,realblock,3,3,0,3,15,NA,NA
9037,2,realblock,4,4,0,4,19,NA,NA
9037,2,realblock,5,5,0,5,24,NA,NA
9037,2,realblock,6,7,0,7,31,NA,NA
9037,2,realblock,7,3,0,3,34,NA,NA
9037,2,realblock,8,6,2,6,40,NA,NA
9037,2,realblock,9,6,1,6,46,NA,NA
9037,2,realblock,10,4,0,4,50,NA,NA
9038,2,realblock,1,7,1,5,5,NA,NA
9038,2,realblock,2,5,2,5,10,NA,NA
9038,2,realblock,3,4,0,4,14,NA,NA
9038,2,realblock,4,3,0,3,17,NA,NA
9038,2,realblock,5,5,1,5,22,NA,NA
9038,2,realblock,6,7,2,6,28,NA,NA
9038,2,realblock,7,6,2,0,28,NA,NA
9038,2,realblock,8,6,2,0,28,NA,NA
9038,2,realblock,9,3,0,3,31,NA,NA
9038,2,realblock,10,4,1,4,35,NA,NA
9039,2,realblock,1,6,1,6,6,NA,NA
9039,2,realblock,2,3,1,3,9,NA,NA
9039,2,realblock,3,5,2,1,10,NA,NA
9039,2,realblock,4,4,1,3,13,NA,NA
9039,2,realblock,5,7,0,2,15,NA,NA
9039,2,realblock,6,7,2,4,19,NA,NA
9039,2,realblock,7,3,0,3,22,NA,NA
9039,2,realblock,8,5,1,5,27,NA,NA
9039,2,realblock,9,6,0,3,30,NA,NA
9039,2,realblock,10,4,1,4,34,NA,NA
9041,2,realblock,1,6,0,6,6,NA,NA
9041,2,realblock,2,5,1,1,7,NA,NA
9041,2,realblock,3,6,0,3,10,NA,NA
9041,2,realblock,4,4,1,4,14,NA,NA
9041,2,realblock,5,3,1,3,17,NA,NA
9041,2,realblock,6,7,0,5,22,NA,NA
9041,2,realblock,7,4,1,3,25,NA,NA
9041,2,realblock,8,5,2,4,29,NA,NA
9041,2,realblock,9,3,0,2,31,NA,NA
9041,2,realblock,10,7,1,2,33,NA,NA
9042,2,realblock,1,5,2,4,4,NA,NA
9042,2,realblock,2,3,0,3,7,NA,NA
9042,2,realblock,3,6,0,4,11,NA,NA
9042,2,realblock,4,4,0,4,15,NA,NA
9042,2,realblock,5,7,1,6,21,NA,NA
9042,2,realblock,6,6,0,5,26,NA,NA
9042,2,realblock,7,5,0,4,30,NA,NA
9042,2,realblock,8,7,0,5,35,NA,NA
9042,2,realblock,9,4,0,4,39,NA,NA
9042,2,realblock,10,3,1,3,42,NA,NA
9044,2,realblock,1,4,0,3,3,NA,NA
9044,2,realblock,2,7,2,2,5,NA,NA
