subject,session,date,time,condition,block,sub_block,trial,subtrial,rt,acc
9005,1,10/10/22,12:12,random,5,1,43,3,554.9094,1
9005,1,10/10/22,12:12,random,5,1,44,4,480.6589,1
9005,1,10/10/22,12:12,random,5,1,45,5,503.2013,1
9005,1,10/10/22,12:12,random,5,1,46,6,411.0902,0
9005,1,10/10/22,12:12,random,5,1,47,7,998.8041,1
9005,1,10/10/22,12:12,random,5,1,48,8,542.4236,1
9005,1,10/10/22,12:12,random,5,1,49,9,601.0574,1
9005,1,10/10/22,12:12,random,5,1,50,10,511.6837,1
9006,1,10/11/22,09:22,practice,0,1,1,1,660141.0998,1
9006,1,10/11/22,09:22,practice,0,1,2,2,16374.0172,1
9006,1,10/11/22,09:22,practice,0,1,3,3,707.0306,1
9006,1,10/11/22,09:22,practice,0,1,4,4,595.7693,1
9006,1,10/11/22,09:22,practice,0,1,5,5,556.0558,1
9006,1,10/11/22,09:22,practice,0,1,6,6,644.829,1
9006,1,10/11/22,09:22,practice,0,1,7,7,524.1902,1
9006,1,10/11/22,09:22,practice,0,1,8,8,441.4325,1
9006,1,10/11/22,09:22,random,1,1,1,1,445.7532,1
9006,1,10/11/22,09:22,random,1,1,2,2,627.217,1
9006,1,10/11/22,09:22,random,1,1,3,3,397.3012,1
9006,1,10/11/22,09:22,random,1,1,4,4,371.4488,1
9006,1,10/11/22,09:22,random,1,1,5,5,739.3067,1
9006,1,10/11/22,09:22,random,1,1,6,6,647.0824,1
9006,1,10/11/22,09:22,random,1,1,7,7,651.9772,1
9006,1,10/11/22,09:22,random,1,1,8,8,533.2502,1
9006,1,10/11/22,09:22,random,1,1,9,9,758.1884,1
9006,1,10/11/22,09:22,random,1,1,10,10,535.1653,1
9006,1,10/11/22,09:22,random,2,1,11,1,398.8836,1
9006,1,10/11/22,09:22,random,2,1,12,2,630.8176,1
9006,1,10/11/22,09:22,random,2,1,13,3,346.1421,1
9006,1,10/11/22,09:22,random,2,1,14,4,525.7804,1
9006,1,10/11/22,09:22,random,2,1,15,5,586.6135,1
9006,1,10/11/22,09:22,random,2,1,16,6,436.5129,1
9006,1,10/11/22,09:22,random,2,1,17,7,660.9929,1
9006,1,10/11/22,09:22,random,2,1,18,8,579.7535,1
9006,1,10/11/22,09:22,random,2,1,19,9,485.0721,1
9006,1,10/11/22,09:22,random,2,1,20,10,476.8376,1
9006,1,10/11/22,09:22,random,3,1,21,1,352.697,1
9006,1,10/11/22,09:22,random,3,1,22,2,382.0765,1
9006,1,10/11/22,09:22,random,3,1,23,3,360.0261,1
9006,1,10/11/22,09:22,random,3,1,24,4,456.1325,1
9006,1,10/11/22,09:22,random,3,1,25,5,561.297,1
9006,1,10/11/22,09:22,random,3,1,26,6,549.2067,0
9006,1,10/11/22,09:22,random,3,1,27,7,4.28710000007,0
9006,1,10/11/22,09:22,random,3,1,28,8,621.6232,1
9006,1,10/11/22,09:22,random,3,1,29,9,519.9342,1
