subject,session,date,time,screen_size,block,trial,trial_type,set_size,resp,acc,rt,proberesp,probresp
9004,2,10/17/2022,13:53,"(1600, 900)",real,38,no-change,6,j,0,3.3444,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,39,change,6,f,0,3.9067,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,40,change,6,f,0,677.6676,5,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,41,change,6,j,1,3.7166,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,42,no-change,6,f,1,889.065,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,43,no-change,6,f,1,1899.7792,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,44,change,6,f,0,852.5613,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,45,no-change,6,f,1,705.6116,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,46,change,6,f,0,15.7693,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,47,change,6,f,0,2544.7313,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,48,no-change,6,f,1,412.1741,5,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,49,no-change,6,j,0,4.0716,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,50,no-change,6,f,1,887.9314,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,51,no-change,6,f,1,3.7428,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,52,change,6,f,0,4.2537,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,53,change,6,f,0,3.9918,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,54,change,6,f,0,2.3458,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,55,change,6,f,0,733.0585,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,56,change,6,f,0,16.0026,5,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,57,no-change,6,f,1,6098.6738,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,58,change,6,j,1,1184.1173,NA,NA
9004,2,10/17/2022,13:53,"(1600, 900)",real,59,change,6,f,0,1481.5153,NA,NA
