subject,session,list,setsize,senterrors,lettertotal,rspantotal
9053,2,1,6,1,2,2
9053,2,2,3,0,2,4
9053,2,3,5,0,4,8
9053,2,4,5,0,5,13
9053,2,5,7,1,1,14
9053,2,6,3,1,3,17
9053,2,7,6,1,2,19
9053,2,8,7,0,1,20
9053,2,9,4,1,4,24
9053,2,10,4,0,0,24
9054,2,1,5,1,1,1
9054,2,2,6,0,3,4
9054,2,3,4,0,2,6
9054,2,4,7,1,2,8
9054,2,5,3,1,0,8
9054,2,6,6,1,4,12
9054,2,7,4,1,2,14
9054,2,8,3,0,3,17
9054,2,9,7,1,2,19
9054,2,10,5,0,2,21
9055,2,1,5,0,3,3
9055,2,2,6,0,5,8
9055,2,3,4,0,4,12
9055,2,4,3,0,3,15
9055,2,5,5,0,5,20
9055,2,6,7,0,4,24
9055,2,7,3,0,3,27
9055,2,8,6,0,6,33
9055,2,9,4,0,4,37
9055,2,10,7,0,7,44
9056,2,1,7,2,2,2
9056,2,2,6,1,6,8
9056,2,3,5,1,5,13
9056,2,4,4,0,4,17
9056,2,5,5,0,5,22
9056,2,6,4,0,4,26
9056,2,7,3,0,3,29
9056,2,8,3,0,3,32
9056,2,9,7,2,7,39
9056,2,10,6,0,6,45
9057,2,1,7,1,5,5
9057,2,2,3,0,3,8
9057,2,3,5,1,5,13
9057,2,4,6,1,5,18
9057,2,5,7,1,4,22
9057,2,6,3,0,3,25
9057,2,7,6,0,4,29
9057,2,8,4,0,4,33
9057,2,9,4,0,4,37
9057,2,10,5,0,3,40
9058,2,1,3,0,3,3
9058,2,2,6,0,5,8
9058,2,3,5,0,5,13
9058,2,4,7,0,6,19
9058,2,5,7,0,5,24
9058,2,6,3,0,3,27
9058,2,7,5,0,0,27
9058,2,8,4,0,3,30
9058,2,9,4,1,2,32
9058,2,10,6,0,4,36
9059,2,1,4,0,4,4
9059,2,2,5,0,5,9
9059,2,3,4,1,4,13
9059,2,4,7,3,1,14
9059,2,5,7,2,2,16
9059,2,6,3,0,3,19
9059,2,7,6,2,1,20
9059,2,8,5,1,5,25
9059,2,9,6,0,0,25
9059,2,10,3,0,3,28
9060,2,1,6,1,6,6
9060,2,2,5,1,4,10
9060,2,3,3,0,3,13
9060,2,4,7,1,7,20
9060,2,5,5,0,5,25
9060,2,6,7,4,2,27
9060,2,7,6,1,2,29
9060,2,8,4,0,4,33
9060,2,9,3,0,3,36
9060,2,10,4,0,4,40
9061,2,1,3,0,3,3
9061,2,2,4,1,4,7
9061,2,3,7,0,7,14
9061,2,4,3,0,3,17
9061,2,5,5,1,2,19
9061,2,6,6,2,6,25
9061,2,7,5,0,5,30
9061,2,8,7,1,3,33
9061,2,9,4,0,4,37
9061,2,10,6,0,2,39
9062,2,1,5,2,5,5
9062,2,2,4,2,4,9
9062,2,3,7,3,5,14
9062,2,4,3,2,3,17
9062,2,5,6,3,3,20
9062,2,6,5,1,3,23
9062,2,7,4,2,3,26
9062,2,8,3,1,3,29
9062,2,9,6,1,5,34
9062,2,10,7,5,6,40
9063,2,1,4,0,4,4
9063,2,2,5,0,4,8
9063,2,3,6,0,6,14
9063,2,4,5,1,2,16
9063,2,5,3,0,2,18
9063,2,6,7,0,3,21
9063,2,7,6,1,3,24
9063,2,8,4,0,1,25
9063,2,9,3,1,3,28
9063,2,10,7,0,2,30
9065,2,1,3,0,3,3
9065,2,2,3,0,3,6
9065,2,3,5,0,2,8
9065,2,4,4,0,4,12
9065,2,5,7,2,3,15
9065,2,6,7,1,2,17
9065,2,7,4,0,4,21
9065,2,8,6,0,6,27
9065,2,9,6,0,6,33
9065,2,10,5,0,5,38
9066,2,1,3,0,3,3
9066,2,2,6,0,2,5
9066,2,3,3,1,3,8
9066,2,4,4,1,4,12
9066,2,5,4,1,1,13
9066,2,6,6,0,5,18
9066,2,7,5,0,4,22
9066,2,8,7,1,4,26
9066,2,9,5,1,2,28
9066,2,10,7,0,6,34
9067,2,1,7,0,4,4
9067,2,2,4,0,4,8
9067,2,3,6,0,6,14
9067,2,4,7,0,5,19
9067,2,5,5,0,5,24
9067,2,6,4,0,4,28
9067,2,7,6,0,6,34
9067,2,8,3,0,3,37
9067,2,9,3,0,3,40
9067,2,10,5,0,5,45
9068,2,1,5,0,5,5
9068,2,2,3,0,3,8
9068,2,3,7,0,1,9
9068,2,4,7,0,6,15
9068,2,5,4,0,3,18
9068,2,6,5,0,3,21
9068,2,7,3,2,2,23
9068,2,8,6,0,4,27
9068,2,9,6,0,3,30
9068,2,10,4,0,4,34
9069,2,1,4,1,4,4
9069,2,2,4,0,3,7
9069,2,3,3,1,3,10
9069,2,4,6,1,3,13
9069,2,5,7,1,5,18
9069,2,6,3,1,2,20
9069,2,7,5,1,5,25
9069,2,8,7,0,4,29
9069,2,9,6,2,6,35
9069,2,10,5,0,5,40
9071,2,1,5,1,5,5
9071,2,2,3,0,3,8
9071,2,3,4,0,4,12
9071,2,4,4,0,4,16
9071,2,5,7,1,3,19
9071,2,6,7,1,3,22
9071,2,7,6,0,4,26
9071,2,8,5,0,5,31
9071,2,9,3,0,0,31
9071,2,10,6,1,6,37
9072,2,1,3,0,3,3
9072,2,2,4,0,1,4
9072,2,3,7,0,1,5
9072,2,4,3,0,3,8
9072,2,5,6,0,1,9
9072,2,6,5,0,4,13
9072,2,7,4,2,0,13
9072,2,8,6,1,2,15
9072,2,9,5,0,5,20
9072,2,10,7,0,1,21
9073,2,1,3,0,2,2
9073,2,2,3,0,3,5
9073,2,3,4,1,4,9
9073,2,4,7,0,4,13
9073,2,5,6,0,4,17
9073,2,6,7,1,4,21
9073,2,7,5,0,2,23
9073,2,8,5,0,2,25
9073,2,9,6,0,2,27
9073,2,10,4,0,0,27
9074,2,1,5,0,5,5
9074,2,2,4,0,4,9
9074,2,3,7,0,3,12
9074,2,4,3,0,3,15
9074,2,5,5,0,5,20
9074,2,6,6,0,6,26
9074,2,7,3,0,3,29
9074,2,8,4,0,4,33
9074,2,9,7,0,7,40
9074,2,10,6,0,5,45
9076,2,1,6,0,6,6
9076,2,2,3,1,3,9
9076,2,3,5,0,5,14
9076,2,4,4,1,4,18
9076,2,5,6,0,1,19
9076,2,6,7,2,1,20
9076,2,7,3,2,0,20
9076,2,8,5,1,1,21
9076,2,9,7,0,6,27
9076,2,10,4,0,4,31
9077,2,1,5,0,5,5
9077,2,2,6,0,6,11
9077,2,3,3,0,3,14
9077,2,4,4,1,4,18
9077,2,5,6,1,5,23
9077,2,6,5,1,5,28
9077,2,7,7,0,4,32
9077,2,8,4,0,4,36
9077,2,9,3,1,3,39
9077,2,10,7,1,7,46
9078,2,1,3,0,3,3
9078,2,2,6,0,6,9
9078,2,3,5,0,5,14
9078,2,4,5,1,5,19
9078,2,5,4,0,4,23
9078,2,6,7,2,4,27
9078,2,7,6,0,4,31
9078,2,8,4,0,4,35
