subject,session,date,time,screen_size,block,trial,trial_type,set_size,resp,acc,rt,probe_resp
9004,1,10/3/2022,12:47,"(1600, 900)",real,24,change,6,j,1,1256.8121,3
9004,1,10/3/2022,12:47,"(1600, 900)",real,25,change,6,j,1,1806.0906,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,26,no-change,6,f,1,1580.672,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,27,change,6,j,1,2991.9928,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,28,no-change,6,f,1,2588.5394,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,29,no-change,6,f,1,1379.9541,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,30,change,6,f,0,4817.4313,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,31,change,6,j,1,5264.9542,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,32,no-change,6,f,1,1805.0809,2
9004,1,10/3/2022,12:47,"(1600, 900)",real,33,change,6,f,0,1136.8205,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,34,no-change,6,f,1,1910.093,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,35,change,6,j,1,2362.473,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,36,no-change,6,j,0,1458.7858,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,37,change,6,j,1,2718.9188,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,38,change,6,f,0,2041.4797,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,39,change,6,j,1,1402.5178,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,40,change,6,j,1,1013.8717,3
9004,1,10/3/2022,12:47,"(1600, 900)",real,41,no-change,6,j,0,1159.306,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,42,no-change,6,f,1,2085.9468,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,43,no-change,6,f,1,1219.9587,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,44,change,6,j,1,1498.6678,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,45,no-change,6,f,1,1495.6582,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,46,change,6,j,1,1406.1984,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,47,no-change,6,f,1,1262.4814,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,48,no-change,6,f,1,1117.6597,2
9004,1,10/3/2022,12:47,"(1600, 900)",real,49,no-change,6,f,1,1308.0488,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,50,change,6,f,0,1245.2502,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,51,change,6,f,0,1176.606,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,52,change,6,f,0,1071.8455,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,53,change,6,j,1,2248.6556,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,54,no-change,6,f,1,1045.4772,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,55,change,6,j,1,1087.9813,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,56,no-change,6,f,1,4963.7701,2
9004,1,10/3/2022,12:47,"(1600, 900)",real,57,no-change,6,f,1,1097.9676,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,58,no-change,6,f,1,1194.3325,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,59,change,6,j,1,1587.5191,NA
9004,1,10/3/2022,12:47,"(1600, 900)",real,60,no-change,6,f,1,1101.4198,NA
9005,1,10/3/2022,13:03,"(1600, 900)",practice,0,no-change,6,f,1,1210.7228,NA
9005,1,10/3/2022,13:03,"(1600, 900)",practice,0,change,6,j,1,1314.9856,NA
9005,1,10/3/2022,13:03,"(1600, 900)",practice,0,no-change,6,f,1,1355.3821,NA
9005,1,10/3/2022,13:03,"(1600, 900)",practice,0,change,6,f,0,1252.107,NA
9005,1,10/3/2022,13:03,"(1600, 900)",practice,0,change,6,j,1,1424.473,NA
9005,1,10/3/2022,13:03,"(1600, 900)",practice,0,no-change,6,f,1,1279.3054,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,1,change,6,j,1,1504.7228,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,2,no-change,6,f,1,798.1751,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,3,no-change,6,f,1,1019.1473,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,4,change,6,j,1,1178.8641,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,5,no-change,6,f,1,958.0424,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,6,change,6,j,1,1421.0861,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,7,change,6,j,1,1474.327,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,8,change,6,j,1,1768.4952,1
9005,1,10/3/2022,13:03,"(1600, 900)",real,9,no-change,6,j,0,1427.2757,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,10,no-change,6,f,1,1167.7791,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,11,no-change,6,f,1,1055.3717,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,12,no-change,6,f,1,918.1424,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,13,no-change,6,f,1,763.4232,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,14,change,6,f,0,1640.0587,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,15,no-change,6,j,0,1603.1136,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,16,change,6,j,1,1047.7827,1
9005,1,10/3/2022,13:03,"(1600, 900)",real,17,change,6,j,1,1422.7904,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,18,change,6,j,1,1283.646,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,19,change,6,j,1,1833.9,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,20,change,6,f,0,1755.9056,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,21,no-change,6,f,1,1378.5446,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,22,change,6,f,0,1324.3265,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,23,change,6,j,1,1705.4193,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,24,no-change,6,f,1,957.5178,3
9005,1,10/3/2022,13:03,"(1600, 900)",real,25,no-change,6,f,1,1055.8078,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,26,change,6,j,1,1157.4427,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,27,change,6,j,1,1262.7357,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,28,change,6,j,1,1072.3257,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,29,no-change,6,f,1,1009.7057,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,30,no-change,6,f,1,1337.0136,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,31,no-change,6,f,1,2952.1857,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,32,change,6,j,1,933.5302,2
9005,1,10/3/2022,13:03,"(1600, 900)",real,33,change,6,j,1,1089.3848,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,34,change,6,j,1,1268.8712,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,35,no-change,6,f,1,1223.0292,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,36,change,6,f,0,1626.1038,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,37,no-change,6,f,1,925.4542,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,38,change,6,f,0,1288.348,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,39,change,6,j,1,1180.6456,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,40,change,6,j,1,1548.9689,2
9005,1,10/3/2022,13:03,"(1600, 900)",real,41,change,6,f,0,1070.4336,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,42,no-change,6,f,1,1379.1609,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,43,no-change,6,j,0,1095.9146,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,44,no-change,6,f,1,1748.1322,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,45,no-change,6,j,0,3231.0235,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,46,no-change,6,f,1,795.1178,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,47,change,6,f,0,964.5374,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,48,change,6,f,0,820.0339,1
9005,1,10/3/2022,13:03,"(1600, 900)",real,49,no-change,6,f,1,1070.0758,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,50,no-change,6,f,1,755.1444,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,51,no-change,6,f,1,1368.2711,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,52,no-change,6,f,1,920.5736,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,53,change,6,f,0,916.8103,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,54,change,6,f,0,729.0747,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,55,change,6,f,0,864.9211,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,56,change,6,f,0,797.6844,3
9005,1,10/3/2022,13:03,"(1600, 900)",real,57,no-change,6,f,1,901.6256,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,58,no-change,6,f,1,844.3863,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,59,no-change,6,f,1,1994.0286,NA
9005,1,10/3/2022,13:03,"(1600, 900)",real,60,no-change,6,f,1,901.2329,NA
9006,1,10/4/2022,10:01,"(1600, 900)",practice,0,change,6,f,0,1554.6872,NA
9006,1,10/4/2022,10:01,"(1600, 900)",practice,0,change,6,f,0,1360.4594,NA
9006,1,10/4/2022,10:01,"(1600, 900)",practice,0,change,6,j,1,1507.0979,NA
9006,1,10/4/2022,10:01,"(1600, 900)",practice,0,no-change,6,f,1,1840.2323,NA
9006,1,10/4/2022,10:01,"(1600, 900)",practice,0,no-change,6,f,1,1726.6084,NA
9006,1,10/4/2022,10:01,"(1600, 900)",practice,0,no-change,6,f,1,1153.7422,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,1,change,6,j,1,1478.0721,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,2,no-change,6,j,0,2253.8242,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,3,change,6,j,1,2364.6327,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,4,no-change,6,f,1,2140.1339,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,5,no-change,6,f,1,1927.397,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,6,change,6,f,0,2720.198,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,7,no-change,6,f,1,5866.0121,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,8,change,6,j,1,1845.3402,2
9006,1,10/4/2022,10:01,"(1600, 900)",real,9,change,6,j,1,1885.9334,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,10,no-change,6,j,0,2300.8485,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,11,change,6,j,1,3012.2075,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,12,no-change,6,f,1,2022.0526,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,13,change,6,j,1,2405.2259,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,14,change,6,f,0,2353.0707,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,15,no-change,6,f,1,2601.18,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,16,change,6,j,1,4009.6246,1
9006,1,10/4/2022,10:01,"(1600, 900)",real,17,change,6,j,1,814.6849,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,18,change,6,f,0,829.4311,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,19,change,6,j,1,777.0009,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,20,change,6,f,0,1152.6125,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,21,no-change,6,f,1,1520.9111,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,22,change,6,j,1,1343.3592,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,23,no-change,6,j,0,726.6422,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,24,no-change,6,f,1,3141.3522,3
9006,1,10/4/2022,10:01,"(1600, 900)",real,25,no-change,6,f,1,2.8205,NA
9006,1,10/4/2022,10:01,"(1600, 900)",real,26,no-change,6,j,0,1829.7994,NA
