subject,session,date,time,block,trial,delay,acc,rt,target_side,V11,V12
9002,2,10/17/22,10:08,antisaccade,31,3000,0,836.1159,left,NA,
9002,2,10/17/22,10:08,antisaccade,32,2000,1,851.816,left,NA,
9002,2,10/17/22,10:08,antisaccade,33,2000,0,940.6925,right,NA,
9002,2,10/17/22,10:08,antisaccade,34,2000,0,1407.9077,left,NA,
9002,2,10/17/22,10:08,antisaccade,35,2000,0,1124.5919,left,NA,
9002,2,10/17/22,10:08,antisaccade,36,2000,0,910.1506,left,NA,
9002,2,10/17/22,10:08,antisaccade,37,2000,0,987.1747,left,NA,
9002,2,10/17/22,10:08,antisaccade,38,2000,1,867.8152,right,NA,
9002,2,10/17/22,10:08,antisaccade,39,2000,1,542.7312,left,NA,
9002,2,10/17/22,10:08,antisaccade,40,3000,1,622.0086,left,NA,
9002,2,10/17/22,10:08,antisaccade,41,3000,0,819.3575,left,NA,
9002,2,10/17/22,10:08,antisaccade,42,2000,1,613.0769,right,NA,
9002,2,10/17/22,10:08,antisaccade,43,3000,1,593.3203,left,NA,
9002,2,10/17/22,10:08,antisaccade,44,2000,1,530.6771,left,NA,
9002,2,10/17/22,10:08,antisaccade,45,2000,1,937.6586,right,NA,
9002,2,10/17/22,10:08,antisaccade,46,2000,0,774.8406,right,NA,
9002,2,10/17/22,10:08,antisaccade,47,3000,1,562.9287,left,NA,
9002,2,10/17/22,10:08,antisaccade,48,2000,0,1202.8619,right,NA,
9002,2,10/17/22,10:08,antisaccade,49,2000,1,113.606,right,NA,
9002,2,10/17/22,10:08,antisaccade,50,3000,0,122.5805,right,NA,
9002,2,10/17/22,10:08,antisaccade,51,2000,1,183.6744,left,NA,
9002,2,10/17/22,10:08,antisaccade,52,2000,1,111.5057,right,NA,
9002,2,10/17/22,10:08,antisaccade,53,2000,0,112.5356,right,NA,
9002,2,10/17/22,10:08,antisaccade,54,3000,1,172.4969,left,NA,
9002,2,10/17/22,10:08,antisaccade,55,3000,0,107.1514,right,NA,
9002,2,10/17/22,10:08,antisaccade,56,2000,0,115.4106,right,NA,
9002,2,10/17/22,10:08,antisaccade,57,2000,1,172.4507,left,NA,
9002,2,10/17/22,10:08,antisaccade,58,2000,0,168.8845,left,NA,
9002,2,10/17/22,10:08,antisaccade,59,2000,1,113.9119,right,NA,
9002,2,10/17/22,10:08,antisaccade,60,2000,0,162.9037,left,NA,
9004,2,10/17/22,13:37,slow_practice,1,3000,0,4314.613,right,NA,
9004,2,10/17/22,13:37,slow_practice,2,2000,1,1414.1336,left,NA,
9004,2,10/17/22,13:37,slow_practice,3,2000,1,831.6356,left,NA,
9004,2,10/17/22,13:37,slow_practice,4,3000,1,1189.7159,left,NA,
9004,2,10/17/22,13:37,slow_practice,5,2000,0,919.6038,right,NA,
9004,2,10/17/22,13:37,slow_practice,6,2000,1,786.0082,left,NA,
9004,2,10/17/22,13:37,slow_practice,7,2000,1,574.8965,left,NA,
9004,2,10/17/22,13:37,slow_practice,8,2000,1,105.723,right,NA,
9004,2,10/17/22,13:37,fast_practice,1,2000,1,773.4341,,NA,left
9004,2,10/17/22,13:37,fast_practice,2,2000,1,615.1956,,NA,left
9004,2,10/17/22,13:37,fast_practice,3,3000,1,821.0962,,NA,right
9004,2,10/17/22,13:37,fast_practice,4,3000,1,553.1023,,NA,right
9004,2,10/17/22,13:37,fast_practice,5,2000,0,650.9393,,NA,left
9004,2,10/17/22,13:37,fast_practice,6,3000,0,546.0551,,NA,right
9004,2,10/17/22,13:37,fast_practice,7,3000,0,103.3477,,NA,right
9004,2,10/17/22,13:37,fast_practice,8,2000,0,319.0144,,NA,right
9004,2,10/17/22,13:37,fast_practice,9,3000,0,263.8563,,NA,right
9004,2,10/17/22,13:37,fast_practice,10,3000,0,345.5528,,NA,left
9004,2,10/17/22,13:37,fast_practice,11,2000,0,156.4039,,NA,left
9004,2,10/17/22,13:37,fast_practice,12,2000,0,716.8986,,NA,right
9004,2,10/17/22,13:37,fast_practice,13,3000,1,495.6462,,NA,right
9004,2,10/17/22,13:37,fast_practice,14,3000,1,465.9537,,NA,left
9004,2,10/17/22,13:37,fast_practice,15,2000,1,1432.1894,,NA,left
9004,2,10/17/22,13:37,fast_practice,16,2000,1,900.0397,,NA,right
9004,2,10/17/22,13:37,antisaccade,1,3000,0,747.3921,left,NA,
9004,2,10/17/22,13:37,antisaccade,2,3000,1,852.551,right,NA,
9004,2,10/17/22,13:37,antisaccade,3,2000,1,739.7363,left,NA,
9004,2,10/17/22,13:37,antisaccade,4,2000,1,652.7569,left,NA,
9004,2,10/17/22,13:37,antisaccade,5,2000,0,614.3324,left,NA,
9004,2,10/17/22,13:37,antisaccade,6,3000,1,674.7923,left,NA,
9004,2,10/17/22,13:37,antisaccade,7,2000,1,582.3864,left,NA,
9004,2,10/17/22,13:37,antisaccade,8,2000,1,673.6641,left,NA,
9004,2,10/17/22,13:37,antisaccade,9,2000,1,581.8847,left,NA,
9004,2,10/17/22,13:37,antisaccade,10,2000,1,756.4743,left,NA,
9004,2,10/17/22,13:37,antisaccade,11,3000,1,606.7095,right,NA,
9004,2,10/17/22,13:37,antisaccade,12,2000,1,667.576,left,NA,
9004,2,10/17/22,13:37,antisaccade,13,2000,0,817.0832,right,NA,
9004,2,10/17/22,13:37,antisaccade,14,2000,1,569.3342,left,NA,
9004,2,10/17/22,13:37,antisaccade,15,2000,0,1448.7393,left,NA,
9004,2,10/17/22,13:37,antisaccade,16,3000,1,1094.42,right,NA,
9004,2,10/17/22,13:37,antisaccade,17,2000,1,623.0616,left,NA,
9004,2,10/17/22,13:37,antisaccade,18,3000,1,532.8199,left,NA,
9004,2,10/17/22,13:37,antisaccade,19,3000,1,1922.2089,right,NA,
9004,2,10/17/22,13:37,antisaccade,20,2000,1,583.4516,left,NA,
9004,2,10/17/22,13:37,antisaccade,21,2000,1,869.0403,right,NA,
9004,2,10/17/22,13:37,antisaccade,22,3000,0,898.6612,right,NA,
9004,2,10/17/22,13:37,antisaccade,23,3000,1,729.4657,right,NA,
9004,2,10/17/22,13:37,antisaccade,24,3000,1,543.3735,right,NA,
9004,2,10/17/22,13:37,antisaccade,25,3000,1,939.7007,left,NA,
9004,2,10/17/22,13:37,antisaccade,26,3000,1,1096.9088,left,NA,
9004,2,10/17/22,13:37,antisaccade,27,3000,1,1312.594,right,NA,
9004,2,10/17/22,13:37,antisaccade,28,2000,0,1596.4102,right,NA,
9004,2,10/17/22,13:37,antisaccade,29,2000,0,745.6995,right,NA,
9004,2,10/17/22,13:37,antisaccade,30,3000,1,2128.2904,right,NA,
9004,2,10/17/22,13:37,antisaccade,31,3000,1,646.3767,left,NA,
9004,2,10/17/22,13:37,antisaccade,32,2000,1,545.0533,left,NA,
9004,2,10/17/22,13:37,antisaccade,33,2000,0,601.592,right,NA,
9004,2,10/17/22,13:37,antisaccade,34,3000,0,531.5959,left,NA,
9004,2,10/17/22,13:37,antisaccade,35,2000,1,535.0052,left,NA,
9004,2,10/17/22,13:37,antisaccade,36,2000,1,542.5401,right,NA,
9004,2,10/17/22,13:37,antisaccade,37,2000,0,436.3866,right,NA,
9004,2,10/17/22,13:37,antisaccade,38,2000,1,432.264,left,NA,
9004,2,10/17/22,13:37,antisaccade,39,2000,1,646.5677,right,NA,
9004,2,10/17/22,13:37,antisaccade,40,2000,1,627.6181,right,NA,
9004,2,10/17/22,13:37,antisaccade,41,3000,1,625.1954,left,NA,
9004,2,10/17/22,13:37,antisaccade,42,3000,0,551.8332,right,NA,
9004,2,10/17/22,13:37,antisaccade,43,2000,0,623.5268,left,NA,
9004,2,10/17/22,13:37,antisaccade,44,3000,0,577.2929,left,NA,
9004,2,10/17/22,13:37,antisaccade,45,3000,1,489.6474,left,NA,
9004,2,10/17/22,13:37,antisaccade,46,3000,0,612.4772,left,NA,
9004,2,10/17/22,13:37,antisaccade,47,2000,1,478.1531,left,NA,
9004,2,10/17/22,13:37,antisaccade,48,3000,1,808.8495,right,NA,
9004,2,10/17/22,13:37,antisaccade,49,3000,1,583.2537,right,NA,
9004,2,10/17/22,13:37,antisaccade,50,3000,1,626.6511,left,NA,
9004,2,10/17/22,13:37,antisaccade,51,2000,0,865.0231,right,NA,
9004,2,10/17/22,13:37,antisaccade,52,2000,1,1590.8889,left,NA,
9004,2,10/17/22,13:37,antisaccade,53,3000,1,990.9157,right,NA,
9004,2,10/17/22,13:37,antisaccade,54,2000,1,464.7024,left,NA,
9004,2,10/17/22,13:37,antisaccade,55,2000,1,503.9563,left,NA,
9004,2,10/17/22,13:37,antisaccade,56,3000,0,510.5966,right,NA,
9004,2,10/17/22,13:37,antisaccade,57,3000,1,982.5985,right,NA,
9004,2,10/17/22,13:37,antisaccade,58,3000,1,518.3577,left,NA,
9004,2,10/17/22,13:37,antisaccade,59,3000,0,656.5772,right,NA,
9004,2,10/17/22,13:37,antisaccade,60,3000,0,678.4176,right,NA,
9005,2,10/17/22,12:25,slow_practice,1,3000,1,995.0693,left,NA,
