subject,session,date,time,item,acc,rt
9156,1,09/13/23,12:37,13,1,61374.9765
9156,1,09/13/23,12:37,14,0,56044.3145
9156,1,09/13/23,12:37,15,0,77193.469
9156,1,09/13/23,12:37,16,0,26964.5321
9156,1,09/13/23,12:37,17,0,15103.4431
9156,1,09/13/23,12:37,18,0,9771.1133
9157,1,09/13/23,12:43,1,1,46933.5073
9157,1,09/13/23,12:43,2,1,20190.608
9157,1,09/13/23,12:43,3,1,19873.3158
9157,1,09/13/23,12:43,4,0,25529.9308
9157,1,09/13/23,12:43,5,0,27253.5364
9157,1,09/13/23,12:43,6,1,31592.6088
9157,1,09/13/23,12:43,7,1,32694.7954
9157,1,09/13/23,12:43,8,0,15998.0784
9157,1,09/13/23,12:43,9,1,9637.5374
9157,1,09/13/23,12:43,10,0,57726.8213
9157,1,09/13/23,12:43,11,0,63518.6815
9157,1,09/13/23,12:43,12,0,61859.522
9157,1,09/13/23,12:43,13,0,25522.6082
9157,1,09/13/23,12:43,14,0,50958.8373
9157,1,09/13/23,12:43,15,0,44047.5394
9157,1,09/13/23,12:43,16,0,43727.6706
9157,1,09/13/23,12:43,17,0,75467.9862
9158,1,09/13/23,15:26,1,1,20878.6374
9158,1,09/13/23,15:26,2,1,13577.0344
9158,1,09/13/23,15:26,3,1,10168.9845
9158,1,09/13/23,15:26,4,1,14501.5436
9158,1,09/13/23,15:26,5,1,26754.6047
9158,1,09/13/23,15:26,6,1,23188.4823
9158,1,09/13/23,15:26,7,0,17853.4574
9158,1,09/13/23,15:26,8,0,18139.9326
9158,1,09/13/23,15:26,9,1,12763.0642
9158,1,09/13/23,15:26,10,0,35524.3464
9158,1,09/13/23,15:26,11,0,27668.4962
9158,1,09/13/23,15:26,12,0,25561.3338
9158,1,09/13/23,15:26,13,0,20714.7325
9158,1,09/13/23,15:26,14,0,35566.7595
9158,1,09/13/23,15:26,15,1,37599.048
9158,1,09/13/23,15:26,16,0,44534.6145
9158,1,09/13/23,15:26,17,0,39141.4901
9158,1,09/13/23,15:26,18,1,39868.2673
9159,1,09/13/23,15:33,1,1,25040.482
9159,1,09/13/23,15:33,2,0,13984.708
9159,1,09/13/23,15:33,3,1,14130.6437
9159,1,09/13/23,15:33,4,1,43333.3932
9159,1,09/13/23,15:33,5,0,49161.8615
9159,1,09/13/23,15:33,6,0,34332.9886
9159,1,09/13/23,15:33,7,0,22295.0253
9159,1,09/13/23,15:33,8,1,44200.5002
9159,1,09/13/23,15:33,9,1,20854.6372
9159,1,09/13/23,15:33,10,1,26951.238
9159,1,09/13/23,15:33,11,0,49261.7198
9159,1,09/13/23,15:33,12,0,46343.3079
9159,1,09/13/23,15:33,13,0,48088.0453
9159,1,09/13/23,15:33,14,0,41460.4624
9159,1,09/13/23,15:33,15,0,26855.216
9159,1,09/13/23,15:33,16,0,71688.2096
9159,1,09/13/23,15:33,17,0,19444.434
9159,1,09/13/23,15:33,18,0,79994.4916
9160,1,09/13/23,15:28,1,1,21369.5185
9160,1,09/13/23,15:28,2,0,54.0416
9160,1,09/13/23,15:28,3,1,10822.872
