sub session blk trl stim cond acc rt
11 1 3 84 2 1 1 0.41956
11 1 3 85 2 2 1 0.52046
11 1 3 87 1 2 1 0.38952
11 1 3 88 2 1 1 0.44963
11 1 3 91 1 1 1 0.39313
11 1 3 93 2 1 1 0.39023
11 1 3 95 2 2 1 0.47937
11 1 3 96 1 1 1 0.46873
11 1 3 100 2 2 1 0.42484
11 1 3 102 1 1 1 0.44058
11 1 3 103 1 2 1 0.35721
11 1 3 105 1 1 1 0.41371
11 1 3 106 2 2 1 0.45815
11 1 3 107 2 2 1 0.50292
11 1 3 108 2 1 1 0.39669
11 1 3 109 1 1 1 0.50574
11 1 3 112 2 1 1 0.43415
11 1 3 113 1 1 1 0.38388
11 1 3 114 2 1 1 0.39515
11 1 3 116 1 2 1 0.50533
11 1 3 117 1 1 1 0.41677
11 1 3 118 1 1 1 0.37198
11 1 3 119 2 1 1 0.44733
11 1 3 120 2 2 1 0.41393
11 1 3 121 2 1 1 0.39213
11 1 3 122 1 1 1 0.51892
11 1 3 123 1 2 1 0.56258
11 1 3 126 1 1 1 0.40165
11 1 3 127 1 2 1 0.55771
11 1 3 130 2 2 1 0.5042
11 1 3 131 2 1 1 0.46153
11 1 3 133 1 1 1 0.40312
11 1 3 135 1 1 1 0.42643
11 1 3 136 1 2 1 0.53795
11 1 3 138 1 2 1 0.50815
11 1 3 139 2 2 1 0.49814
11 1 3 140 1 2 1 0.51319
11 1 3 141 1 1 1 0.47195
11 1 3 143 2 1 1 0.44444
11 1 3 144 2 2 1 0.60957
11 1 4 11 1 1 1 0.46302
11 1 4 12 2 2 1 0.50079
11 1 4 13 2 2 1 0.46512
11 1 4 14 2 2 1 0.48848
11 1 4 15 2 2 1 0.3823
11 1 4 19 2 1 1 0.46493
11 1 4 21 1 1 1 0.4028
11 1 4 24 2 2 1 0.48864
11 1 4 25 1 1 1 0.35817
11 1 4 26 2 1 1 0.39893
11 1 4 27 2 2 1 0.49331
11 1 4 28 1 2 1 0.47452
11 1 4 32 2 2 1 0.57753
11 1 4 35 1 1 1 0.34914
11 1 4 36 2 2 1 0.43836
11 1 4 37 1 1 1 0.42794
11 1 4 38 2 1 1 0.44064
11 1 4 41 2 1 1 0.46518
11 1 4 42 2 2 1 0.58812
11 1 4 43 1 1 1 0.42927
11 1 4 44 1 2 1 0.53169
11 1 4 45 2 1 1 0.5299
11 1 4 48 1 2 1 0.3644
11 1 4 49 1 2 1 0.42426
11 1 4 50 1 2 1 0.49133
11 1 4 51 2 2 1 0.47344
11 1 4 52 2 1 1 0.50213
11 1 4 54 2 1 1 0.43367
11 1 4 56 2 1 1 0.46884
11 1 4 59 2 1 1 0.44445
11 1 4 61 1 1 1 0.44033
11 1 4 63 2 2 1 0.40155
11 1 4 64 1 2 1 0.42964
11 1 4 65 2 2 1 0.48196
11 1 4 66 2 2 1 0.50466
11 1 4 67 1 1 1 0.51016
11 1 4 68 2 2 1 0.56421
11 1 4 69 1 2 1 0.40528
11 1 4 70 2 2 1 0.42477
11 1 4 71 1 2 1 0.4608
11 1 4 73 1 1 1 0.36934
11 1 4 75 1 2 1 0.39328
11 1 4 77 1 2 1 0.41765
11 1 4 78 1 1 1 0.36615
11 1 4 79 1 1 1 0.35278
11 1 4 80 2 1 1 0.40667
11 1 4 81 1 1 1 0.45755
11 1 4 86 1 1 1 0.44136
11 1 4 87 2 1 1 0.3673
11 1 4 88 1 2 1 0.38647
11 1 4 89 1 2 1 0.52477
11 1 4 93 2 2 1 0.48993
11 1 4 94 2 2 1 0.43268
11 1 4 95 2 1 1 0.42212
11 1 4 96 2 1 1 0.45847
11 1 4 97 1 1 1 0.39035
11 1 4 98 1 2 1 0.47585
11 1 4 99 1 1 1 0.40988
11 1 4 100 2 1 1 0.46153
11 1 4 101 1 1 1 0.35436
11 1 4 103 2 1 1 0.46582
11 1 4 105 2 1 1 0.55815
11 1 4 109 2 2 1 0.48782
11 1 4 110 2 1 1 0.42059
11 1 4 111 1 1 1 0.41035
11 1 4 112 1 1 1 0.38153
11 1 4 115 1 1 1 0.37932
11 1 4 116 1 2 1 0.47088
11 1 4 117 2 1 1 0.40558
11 1 4 118 2 1 1 0.48031
11 1 4 119 2 2 1 0.45643
11 1 4 120 1 2 1 0.44626
11 1 4 122 1 2 1 0.59791
11 1 4 124 1 1 1 0.45938
