"ID","item","item_type","test_type","study_pos","ON_resp","ON_RT","rating_resp","rating_RT","file"
2,"DUFE","nonword","new",NA,"old",2.48574416379,"K",0.817495107956,"P10_RKN_2018_Mar_01_1317.csv"
2,"HEAD","word","old",42,"old",3.88759752635,"K",2.29712289861,"P10_RKN_2018_Mar_01_1317.csv"
2,"LORT","nonword","old",11,"old",2.19816636654,"K",2.00150978148,"P10_RKN_2018_Mar_01_1317.csv"
2,"DENC","nonword","new",NA,"old",2.20360609167,"K",1.04147212775,"P10_RKN_2018_Mar_01_1317.csv"
2,"PAGE","word","new",NA,"new",5.14767452999,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"DOYS","nonword","new",NA,"old",2.40370751006,"K",1.02533702552,"P10_RKN_2018_Mar_01_1317.csv"
2,"UFTS","nonword","new",NA,"new",5.36936519964,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"FACT","word","new",NA,"old",2.0301562674,"R",0.80153745033,"P10_RKN_2018_Mar_01_1317.csv"
2,"HALL","word","new",NA,"old",2.44674257659,"K",0.735580576162,"P10_RKN_2018_Mar_01_1317.csv"
2,"VABB","nonword","new",NA,"new",1.83654393673,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"GOOD","word","new",NA,"old",1.98703523494,"R",1.02553769393,"P10_RKN_2018_Mar_01_1317.csv"
2,"KEPH","nonword","old",48,"new",1.47874693143,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SKIN","word","new",NA,"new",1.39771930993,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"WONS","nonword","old",27,"new",1.6527415375,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SIME","nonword","old",39,"old",1.30499053019,"R",1.44953188047,"P10_RKN_2018_Mar_01_1317.csv"
2,"LINE","word","old",8,"new",1.34944387243,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"LODD","nonword","new",NA,"old",2.34598522875,"K",0.961498575591,"P10_RKN_2018_Mar_01_1317.csv"
2,"VEUL","nonword","new",NA,"old",1.63520556084,"K",1.39342277493,"P10_RKN_2018_Mar_01_1317.csv"
2,"CASH","word","old",28,"new",1.7587524682,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"RILM","nonword","new",NA,"new",1.65244795886,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"NOGE","nonword","old",13,"old",1.48004418597,"R",1.25717767695,"P10_RKN_2018_Mar_01_1317.csv"
2,"ZARC","nonword","new",NA,"new",1.55714808029,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
