Subject,Task,TrialProc,Block,Trial,Accuracy,RT,Response,CorrectResponse,Stimulus_1,Stimulus_2,TargetLength,Distractor_Location,LetterComp.Total,NumberComp.Total,LetterComp_1.Total,LetterComp_2.Total,NumberComp_1.Total,NumberComp_2.Total,SessionDate,SessionTime
14005,NumberComparison,real,1,15,1,1344,same,same,724,724,3,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,16,1,1421,different,different,198,196,3,3,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,1,17,1,2639,different,different,203817546,203819546,9,6,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,1,1,2277,different,different,132845970,632845970,9,1,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,2,1,1741,different,different,680257491,683257491,9,3,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,3,1,2538,different,different,821953760,821954760,9,6,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,4,1,1808,different,different,539601,538601,6,3,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,5,1,3498,different,different,365749210,365789210,9,5,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,6,1,3042,different,different,579861,579361,6,4,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,7,1,3843,same,same,587240136,587240136,9,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,8,1,1892,same,same,693845,693845,6,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,9,1,835,same,same,841,841,3,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,10,1,1173,different,different,780,720,3,2,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,11,1,1408,same,same,430,430,3,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,12,1,946,same,same,914,914,3,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,13,1,2567,same,same,586347,586347,6,0,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,14,1,1459,different,different,412,416,3,3,20,32,9,11,17,15,09-04-2014,12:12:23
14005,NumberComparison,real,2,15,1,2011,same,same,972083,972083,6,0,20,32,9,11,17,15,09-04-2014,12:12:23
14009,LetterComparison,practice,NA,1,0,2349,same,different,SVX,SVK,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,practice,NA,2,1,7518,different,different,VMJXFYZLQ,VMJKFYZLQ,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,practice,NA,3,1,3273,different,different,TRYQZN,TRFQZN,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,practice,NA,4,1,1573,same,same,YZG,YZG,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,practice,NA,5,1,6179,same,same,WDYJTCSNX,WDYJTCSNX,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,practice,NA,6,1,2884,same,same,DRKSGM,DRKSGM,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,1,1,1,4469,same,same,BGJWQS,BGJWQS,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,1,2,1,3574,same,same,RKTDCM,RKTDCM,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,1,3,1,5897,same,same,FKGZMSWPX,FKGZMSWPX,9,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,1,4,1,4401,same,same,SJZHDC,SJZHDC,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,1,5,1,6885,same,same,MYSRGTHBV,MYSRGTHBV,9,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,1,6,1,1973,different,different,SKY,SCY,3,2,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,1,7,1,1889,same,same,FJM,FJM,3,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,1,8,1,7144,same,same,JZMCBVNPT,JZMCBVNPT,9,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,1,1,2855,same,same,THKBYZ,THKBYZ,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,2,1,2480,same,same,GCFPNX,GCFPNX,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,3,1,1416,same,same,QDK,QDK,3,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,4,1,2618,same,same,YJZTHQ,YJZTHQ,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,5,1,4365,different,different,JHPZQXNDY,JHPZQLNDY,9,6,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,6,1,6626,same,same,KXWSVFZGJ,KXWSVFZGJ,9,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,7,1,4148,different,different,SZRVPMTJH,SZYVPMTJH,9,3,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,8,1,1970,different,different,MXK,GXK,3,1,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,9,1,3446,different,different,CTBWGZNRL,CTBDGZNRL,9,4,18,20,8,10,11,9,01-05-2014,15:42:58
14009,LetterComparison,real,2,10,1,4375,same,same,KSDPVF,KSDPVF,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,practice,NA,1,1,2027,different,different,361,261,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,practice,NA,2,1,3040,different,different,490371,490378,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,practice,NA,3,1,4893,same,same,650198437,650198437,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,practice,NA,4,1,2865,different,different,529760843,521760843,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,practice,NA,5,1,2013,same,same,468,468,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,practice,NA,6,1,2363,same,same,905731,905731,NA,NA,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,1,1,1845,same,same,780,780,3,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,2,1,989,same,same,678,678,3,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,3,1,2232,different,different,825031764,895031764,9,2,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,4,1,1418,different,different,708,208,3,1,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,5,1,4171,same,same,984760213,984760213,9,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,6,1,3102,same,same,562937,562937,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,7,1,3300,different,different,451076,451079,6,6,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,8,1,2683,different,different,653782,153782,6,1,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,9,0,1746,same,different,109,139,3,2,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,10,1,1815,same,same,739,739,3,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,11,1,5433,same,same,324719605,324719605,9,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,1,12,1,1523,different,different,405,402,3,3,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,1,1,1950,different,different,132845970,632845970,9,1,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,2,1,2770,different,different,680257491,683257491,9,3,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,3,1,4790,different,different,821953760,821954760,9,6,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,4,1,2849,different,different,539601,538601,6,3,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,5,1,4962,different,different,365749210,365789210,9,5,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,6,1,3295,different,different,579861,579361,6,4,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,7,1,4446,same,same,587240136,587240136,9,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,8,1,6023,same,same,693845,693845,6,0,18,20,8,10,11,9,01-05-2014,15:42:58
14009,NumberComparison,real,2,9,1,1249,same,same,841,841,3,0,18,20,8,10,11,9,01-05-2014,15:42:58
14011,LetterComparison,practice,NA,1,1,1598,same,same,YZG,YZG,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,practice,NA,2,1,1932,different,different,TRYQZN,TRFQZN,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,practice,NA,3,1,2261,different,different,SVX,SVK,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,practice,NA,4,1,3416,different,different,VMJXFYZLQ,VMJKFYZLQ,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,practice,NA,5,0,1494,different,same,WDYJTCSNX,WDYJTCSNX,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,practice,NA,6,1,2097,same,same,DRKSGM,DRKSGM,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,1,1,2013,same,same,BGJWQS,BGJWQS,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,2,1,2511,same,same,RKTDCM,RKTDCM,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,3,1,3357,same,same,FKGZMSWPX,FKGZMSWPX,9,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,4,1,2850,same,same,SJZHDC,SJZHDC,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,5,1,4035,same,same,MYSRGTHBV,MYSRGTHBV,9,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,6,1,1300,different,different,SKY,SCY,3,2,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,7,1,1435,same,same,FJM,FJM,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,8,1,4773,same,same,JZMCBVNPT,JZMCBVNPT,9,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,9,1,3897,different,different,HQTZRYSVB,HQTZRYDVB,9,7,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,10,1,1496,different,different,KFT,KFP,3,3,23,32,12,11,18,14,09-07-2014,15:41:48
