Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,AdminTime,SessionDate,SessionTime
14005,real,35,1,479,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,36,1,403,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,37,1,444,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,38,1,443,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,39,1,405,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,40,1,545,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,41,1,403,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,42,1,407,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,43,1,380,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,44,0,345,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,45,1,567,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,46,1,494,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,47,1,430,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,48,0,615,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,49,0,561,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,50,0,502,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,51,1,560,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,52,1,482,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,53,1,526,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,54,1,424,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,55,1,397,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,56,1,372,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,57,1,392,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,58,1,367,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,59,1,518,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,60,1,469,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,61,1,626,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,62,1,417,Q,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,63,1,539,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,64,1,389,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,65,1,473,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,66,1,563,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,67,1,362,O,3000,8.524416666666667,09-27-2017,15:28:45
14005,real,68,1,406,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,69,1,445,O,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,70,1,356,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,71,1,438,Q,2000,8.524416666666667,09-27-2017,15:28:45
14005,real,72,1,594,Q,2000,8.524416666666667,09-27-2017,15:28:45
14006,practice,1,1,490,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,practice,2,1,459,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,practice,3,0,1292,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,practice,4,1,429,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,practice,5,1,488,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,practice,6,1,392,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,practice,7,1,324,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,practice,8,0,1203,O,3000,9.225733333333332,10-18-2017,13:28:00
