Subject,IT_Standard_Last4Rev.StimulusDuration,IT_2L2D_Last4Rev.StimulusDuration,IT_4L_Last4Rev.StimulusDuration,SACT.ACC,Antisaccade.ACC,VAorient_S.k,StroopDL_Last4Rev.ResponseDeadline,Auditory_FlankerDL_Last4Rev.ResponseDeadline,Auditory_SimonDL_Last4Rev.ResponseDeadline,Auditory_StroopDL_Last4Rev.ResponseDeadline,LetterComparison.PointScore,DigitComparison.PointScore,PatternComparison.PointScore,Hick_SimpleRT.RT,Hick_ChoiceRT.RT,Prosaccade.RT_mean,SymSpan.EditDistanceScore,RotSpan.EditDistanceScore,RAPM.TotalScore,LetterSets.TotalScore,NumberSeries.TotalScore,IT_Standard_SD.StimulusDuration,IT_2L2D_SD.StimulusDuration,IT_4L_SD.StimulusDuration,IT_Standard_Lapses.Sum,IT_2L2D_Lapses.Sum,IT_4L_Lapses.Sum,VAorient_S_unit,Missing,Not_Missing,Missing_perc
16064,105.5,218,192.5,0.7272727272727272,0.7361111111111112,0.9666666666666668,833.5,2087.5,803.5,1170,19,25,36,440.4117647058823,410.0833333333333,448.4507042253521,NA,41,10,13,10,69.34760576639914,74.99020030539972,57.33179220260884,3,1,1,0.23333333333333336,1,27,0.03571428571428571
16065,106.5,155.5,190.5,0.9242424242424242,0.9305555555555556,3.35,681.5,2090,777.5,988,25,35,44,301.8333333333333,297.8333333333333,393.3943661971831,44,35,13,23,13,62.13561866098203,61.631238625132994,64.4875049747805,1,2,1,0.8500000000000001,0,28,0
16066,139.5,205.5,159.5,0.7575757575757576,0.875,2.033333333333333,1228,939,NA,1498,19,27,42,298,374.75,407.4788732394366,35,29,10,10,9,61.30813567545501,79.66574675275288,65.00265952006004,1,2,2,0.5666666666666667,1,27,0.03571428571428571
16068,140.5,105.5,192.5,0.9090909090909092,0.8888888888888888,2.3833333333333333,582,948.5,879.5,1194.5,23,31,42,306,257.69565217391306,NA,35,44,10,12,9,67.20284935174185,71.49899567811231,67.2997818592146,2,6,2,0.65,1,27,0.03571428571428571
16071,75.5,126.5,191.5,0.7575757575757575,0.8611111111111112,2.4000000000000004,858.5,799.5,1222.5,1248,25,37,46,306.22222222222223,260.2083333333333,NA,50,37,13,17,10,63.84550279346506,65.07584227827522,54.70481716701552,6,3,2,0.6333333333333333,1,27,0.03571428571428571
16072,58.5,225.5,365,0.9848484848484848,0.6111111111111112,3.116666666666667,932,NA,NA,1092.5,20,27,39,253.08695652173913,321.5833333333333,488.4027777777777,31,27,12,14,12,43.34493332191031,59.384072655101576,103.29545176148817,0,0,0,0.8166666666666667,2,26,0.07142857142857142
16075,109.5,273.5,194.5,0.9696969696969696,0.7777777777777778,3.0666666666666664,1866.5,1132.5,677,1460.5,17,22,36,302.05555555555554,362.8695652173913,452.625,24,17,10,16,10,55.747209165905645,85.16715937179652,64.47132244990571,0,0,0,0.7666666666666666,0,28,0
16078,82.5,254,176.5,0.8787878787878787,0.6666666666666666,2.35,975,1310.5,822.5,1161,20,33,41,477,373.1363636363636,506,37,27,13,14,14,66.01191328113028,91.80861993862813,63.928026351448466,5,1,1,0.6166666666666667,0,28,0
16083,NA,147.5,157,0.9848484848484848,0.7777777777777778,2.633333333333333,551,2499,711,1783.5,26,34,45,278.82608695652175,352.25,386.328125,32,17,14,19,12,NA,63.571705200723216,54.19885568392389,NA,3,0,0.6666666666666666,3,25,0.10714285714285714
16084,122.5,318,296.5,0.8181818181818181,0.6805555555555556,1.25,1156.5,1437.5,696.5,1432.5,21,32,37,296.15384615384613,313.85714285714283,502.0138888888889,23,22,12,15,10,66.63639827052543,86.58606795045357,69.96731759839656,3,0,1,0.35,0,28,0
16085,183,143.5,122.5,0.8030303030303031,0.6666666666666666,2.5,673.5,813.5,1277,1268.5,14,26,39,266.55555555555554,298,453.8985507246376,35,13,12,20,11,58.52330262685634,73.40860096089193,63.46451513130045,0,2,6,0.6666666666666667,0,28,0
16086,226.5,249,242.5,0.6666666666666667,0.6111111111111112,1.1166666666666667,1994,989.5,929.5,1660.5,14,18,41,287,327.125,529.4492753623188,38,22,13,12,9,117.95430507237276,88.09592410532753,87.55820758964889,3,1,3,0.31666666666666665,0,28,0
16087,125.5,139.5,183,0.8939393939393939,0.8055555555555556,1.7999999999999998,1036.5,2162.5,1031.5,1767,14,25,27,295.94117647058823,319.60869565217394,439.32394366197184,27,8,4,12,9,50.58634479918313,69.20331849543156,75.83366456166459,0,4,3,0.5,0,28,0
16088,90.5,141.5,174.5,0.8636363636363636,0.875,3.3333333333333335,857,NA,NA,1242.5,19,31,32,455.1578947368421,522.0833333333333,416.55555555555554,45,29,13,21,10,59.81146131181982,75.0792371030209,62.24180711701331,2,1,2,0.8333333333333334,2,26,0.07142857142857142
16094,75.5,91.5,155.5,0.9848484848484848,0.9583333333333331,3.4333333333333336,504.5,3096.5,1293,716.5,21,35,43,251.1,255.25,366.4202898550725,41,29,14,18,13,57.31126518426614,60.69174234319268,58.182337501711984,2,2,0,0.8666666666666667,0,28,0
16096,58.5,187.5,190.5,1,0.8333333333333334,1.6166666666666667,1121.5,987.5,873,889.5,17,24,35,309.5217391304348,346.5416666666667,495.80597014925377,29,22,9,15,9,67.89822118226894,88.56667961253065,60.8968433657681,2,2,2,0.45,0,28,0
16097,75.5,67,177.5,0.9848484848484848,0.9305555555555556,2.55,584.5,1157.5,549.5,827.5,21,29,26,287.95652173913044,350.375,338.2676056338029,45,36,12,22,14,46.99773176207701,59.5548498599734,57.79340805130285,0,3,0,0.6833333333333333,0,28,0
