Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,SessionDate,SessionTime
12008,practice,12,1,513,Q,1000,02-20-2015,12:36:19
12008,practice,13,1,558,O,1000,02-20-2015,12:36:19
12008,practice,14,1,377,Q,1000,02-20-2015,12:36:19
12008,practice,15,0,436,O,2000,02-20-2015,12:36:19
12008,practice,16,0,459,O,2000,02-20-2015,12:36:19
12008,real,1,0,501,O,2000,02-20-2015,12:36:19
12008,real,2,0,369,O,1000,02-20-2015,12:36:19
12008,real,3,1,556,Q,2000,02-20-2015,12:36:19
12008,real,4,0,807,Q,1000,02-20-2015,12:36:19
12008,real,5,1,312,Q,1000,02-20-2015,12:36:19
12008,real,6,0,709,O,2000,02-20-2015,12:36:19
12008,real,7,1,416,Q,2000,02-20-2015,12:36:19
12008,real,8,0,409,O,2000,02-20-2015,12:36:19
12008,real,9,1,450,Q,2000,02-20-2015,12:36:19
12008,real,10,0,392,O,2000,02-20-2015,12:36:19
12008,real,11,0,498,O,2000,02-20-2015,12:36:19
12008,real,12,1,376,Q,2000,02-20-2015,12:36:19
12008,real,13,1,729,Q,1000,02-20-2015,12:36:19
12008,real,14,1,998,Q,2000,02-20-2015,12:36:19
12008,real,15,0,552,O,2000,02-20-2015,12:36:19
12008,real,16,1,563,O,1000,02-20-2015,12:36:19
12008,real,17,1,390,O,2000,02-20-2015,12:36:19
12008,real,18,1,423,Q,1000,02-20-2015,12:36:19
12008,real,19,1,720,Q,2000,02-20-2015,12:36:19
12008,real,20,0,605,O,2000,02-20-2015,12:36:19
12008,real,21,0,415,O,2000,02-20-2015,12:36:19
12008,real,22,1,664,Q,2000,02-20-2015,12:36:19
12008,real,23,1,328,Q,2000,02-20-2015,12:36:19
12008,real,24,1,395,O,1000,02-20-2015,12:36:19
12008,real,25,0,509,O,1000,02-20-2015,12:36:19
12008,real,26,1,762,Q,1000,02-20-2015,12:36:19
12008,real,27,1,436,Q,2000,02-20-2015,12:36:19
12008,real,28,1,517,Q,1000,02-20-2015,12:36:19
12008,real,29,1,506,Q,2000,02-20-2015,12:36:19
12008,real,30,1,454,O,1000,02-20-2015,12:36:19
12008,real,31,0,773,O,1000,02-20-2015,12:36:19
12008,real,32,1,639,O,2000,02-20-2015,12:36:19
12008,real,33,1,391,Q,1000,02-20-2015,12:36:19
12008,real,34,1,648,Q,1000,02-20-2015,12:36:19
12008,real,35,0,592,O,1000,02-20-2015,12:36:19
12008,real,36,1,378,Q,1000,02-20-2015,12:36:19
12008,real,37,1,1595,O,1000,02-20-2015,12:36:19
12008,real,38,1,405,Q,2000,02-20-2015,12:36:19
12008,real,39,0,510,O,2000,02-20-2015,12:36:19
12008,real,40,1,379,Q,1000,02-20-2015,12:36:19
12008,real,41,0,511,O,1000,02-20-2015,12:36:19
12008,real,42,1,788,Q,2000,02-20-2015,12:36:19
12008,real,43,1,454,Q,1000,02-20-2015,12:36:19
12008,real,44,1,414,O,2000,02-20-2015,12:36:19
12008,real,45,1,606,O,1000,02-20-2015,12:36:19
12008,real,46,1,1015,O,1000,02-20-2015,12:36:19
12008,real,47,1,752,Q,1000,02-20-2015,12:36:19
12008,real,48,1,627,O,1000,02-20-2015,12:36:19
12010,practice,1,1,487,Q,2000,02-20-2015,13:47:00
12010,practice,2,1,300,O,2000,02-20-2015,13:47:00
12010,practice,3,1,384,O,1000,02-20-2015,13:47:00
12010,practice,4,1,818,O,1000,02-20-2015,13:47:00
12010,practice,5,1,507,O,2000,02-20-2015,13:47:00
12010,practice,6,1,407,Q,1000,02-20-2015,13:47:00
12010,practice,7,1,728,Q,1000,02-20-2015,13:47:00
12010,practice,8,1,388,O,2000,02-20-2015,13:47:00
12010,practice,9,1,462,Q,2000,02-20-2015,13:47:00
12010,practice,10,1,397,O,1000,02-20-2015,13:47:00
12010,practice,11,1,439,O,2000,02-20-2015,13:47:00
12010,practice,12,0,710,O,1000,02-20-2015,13:47:00
12010,practice,13,1,411,Q,1000,02-20-2015,13:47:00
12010,practice,14,1,732,Q,1000,02-20-2015,13:47:00
12010,practice,15,1,375,Q,2000,02-20-2015,13:47:00
12010,practice,16,1,433,Q,2000,02-20-2015,13:47:00
12010,real,1,1,801,Q,2000,02-20-2015,13:47:00
12010,real,2,1,393,O,2000,02-20-2015,13:47:00
12010,real,3,1,378,O,1000,02-20-2015,13:47:00
12010,real,4,1,413,Q,1000,02-20-2015,13:47:00
12010,real,5,1,342,O,2000,02-20-2015,13:47:00
12010,real,6,1,440,O,1000,02-20-2015,13:47:00
12010,real,7,1,288,O,2000,02-20-2015,13:47:00
12010,real,8,1,470,O,1000,02-20-2015,13:47:00
12010,real,9,1,420,Q,1000,02-20-2015,13:47:00
12010,real,10,1,422,O,1000,02-20-2015,13:47:00
12010,real,11,1,285,O,2000,02-20-2015,13:47:00
12010,real,12,0,1018,Q,2000,02-20-2015,13:47:00
12010,real,13,1,531,Q,1000,02-20-2015,13:47:00
12010,real,14,1,519,Q,2000,02-20-2015,13:47:00
12010,real,15,1,322,O,1000,02-20-2015,13:47:00
12010,real,16,1,280,O,1000,02-20-2015,13:47:00
12010,real,17,1,343,O,2000,02-20-2015,13:47:00
12010,real,18,1,547,O,2000,02-20-2015,13:47:00
12010,real,19,1,605,Q,1000,02-20-2015,13:47:00
12010,real,20,1,407,O,1000,02-20-2015,13:47:00
12010,real,21,1,596,Q,2000,02-20-2015,13:47:00
