*ITEM#,SUBANS,CORANS,ISCORR,ACTANS,SGRP,SEED,RTIME
1577,5,5,1,6,B,274,770.70
1578,5,6,0,7,B,274,995.83
1579,2,2,1,1,B,274,841.12
1580,1,1,1,0,B,274,633.85
1581,5,5,1,6,B,274,975.86
1582,5,5,1,6,B,274,550.66
1583,4,4,1,4,B,274,807.98
1584,5,5,1,6,B,274,794.15
1585,1,1,1,0,B,274,1072.20
1586,2,2,1,1,B,274,592.62
1587,5,5,1,6,B,274,752.55
1588,3,3,1,3,B,274,743.08
1589,6,6,1,7,B,274,986.91
1590,7,7,1,9,B,274,502.87
1591,2,2,1,1,B,274,1112.73
1592,7,7,1,9,B,274,1036.80
1593,1,1,1,0,B,274,577.38
1594,4,4,1,4,B,274,819.03
1595,4,4,1,4,B,274,655.95
1596,4,4,1,4,B,274,541.08
1597,3,3,1,3,B,274,791.18
1598,3,3,1,3,B,274,674.34
1599,5,5,1,6,B,274,699.46
1600,4,4,1,4,B,274,637.21
*
1601,3,3,1,3,B,274,861.91
1602,5,6,0,7,B,274,1099.86
1603,3,3,1,3,B,274,872.22
1604,5,5,1,6,B,274,937.56
1605,1,1,1,0,B,274,847.73
1606,5,5,1,6,B,274,2516.63
1607,2,2,1,1,B,274,681.59
1608,5,6,0,7,B,274,1129.80
1609,2,2,1,1,B,274,687.37
1610,2,1,0,0,B,274,506.95
1611,4,4,1,4,B,274,1840.27
1612,2,1,0,0,B,274,632.10
1613,5,6,0,7,B,274,1686.33
1614,6,6,1,7,B,274,643.73
1615,3,3,1,3,B,274,1160.82
1616,3,3,1,3,B,274,489.69
1617,2,1,0,0,B,274,497.72
1618,4,4,1,4,B,274,972.68
1619,2,2,1,1,B,274,725.10
1620,5,5,1,6,B,274,756.36
1621,3,3,1,3,B,274,1810.95
1622,2,1,0,0,B,274,664.70
1623,1,1,1,0,B,274,527.81
1624,2,2,1,1,B,274,449.72
1625,3,3,1,3,B,274,437.81
1626,2,2,1,1,B,274,809.79
1627,2,2,1,1,B,274,868.99
1628,5,6,0,7,B,274,782.84
1629,2,1,0,0,B,274,629.40
1630,3,3,1,3,B,274,1123.00
1631,6,6,1,7,B,275,1081.53
1632,6,5,0,6,B,275,865.69
1633,3,3,1,3,B,275,785.01
1634,2,1,0,0,B,275,587.97
1635,4,4,1,4,B,275,923.05
1636,3,3,1,3,B,275,855.12
1637,1,1,1,0,B,275,483.35
1638,4,4,1,4,B,275,1027.03
1639,1,1,1,0,B,275,853.31
1640,5,5,1,6,B,275,770.99
1641,4,4,1,4,B,275,688.57
1642,7,7,1,9,B,275,586.78
1643,7,7,1,9,B,275,498.95
1644,4,4,1,4,B,275,1128.38
1645,5,5,1,6,B,275,753.22
1646,4,4,1,4,B,275,770.78
1647,3,3,1,3,B,275,822.16
1648,6,7,0,9,B,275,815.06
1649,7,7,1,9,B,275,455.96
1650,1,1,1,0,B,275,550.04
1651,3,3,1,3,B,275,794.93
1652,2,1,0,0,B,275,655.88
1653,4,4,1,4,B,275,797.10
1654,5,6,0,7,B,275,696.14
1655,6,6,1,7,B,275,600.31
1656,7,7,1,9,B,275,414.41
1657,4,4,1,4,B,275,736.28
1658,5,6,0,7,B,275,719.18
1659,6,5,0,6,B,275,475.75
1660,1,1,1,0,B,275,803.45
*
1661,1,1,1,0,B,275,796.12
1662,4,4,1,4,B,275,1711.50
1663,4,4,1,4,B,275,1216.49
1664,4,4,1,4,B,275,634.65
1665,1,1,1,0,B,275,692.78
1666,3,4,0,4,B,275,990.55
1667,2,2,1,1,B,275,1799.73
